t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
0.0,0.0,62,4011,33.1,40.175,64,OFF,1190.6999999999998,,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
0.0,4.0,62,4011,33.1,39.735,64,OFF,1190.6999999999998,110.725,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
4.0,4.0,62,4011,33.1,39.068,64,OFF,1194.113304430232,105.4785,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
8.0,3.0,62,4011,33.1,39.294,64,OFF,1151.2868472148473,146.93466666666666,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
11.0,4.0,62,4011,33.1,39.989,64,OFF,1216.8815471411497,108.4425,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
15.0,3.0,62,4011,33.1,38.871,64,OFF,1127.6157165273962,139.73833333333332,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
18.0,4.0,62,4011,33.1,39.269,64,OFF,1117.9975386005274,113.0565,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
22.0,3.0,62,4011,33.1,38.915,64,OFF,1739.5416175283399,142.41666666666666,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
25.0,4.0,62,4011,33.1,40.368,64,OFF,1032.059112235906,103.3665,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
29.0,3.0,62,4011,33.1,39.186,64,OFF,1148.549840412198,145.82733333333334,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
32.0,4.0,62,4011,33.1,38.421,64,OFF,1117.7626436540684,120.42175,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
36.0,3.0,62,4011,33.1,40.979,64,OFF,1220.0001368558605,137.42,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
39.0,4.0,62,4011,33.1,38.769,64,OFF,1387.0001769743244,110.37175,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
43.0,3.0,62,4011,33.1,41.203,64,OFF,1137.9190435774258,140.865,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
46.0,4.0,62,4011,33.1,39.104,64,OFF,1301.819173969866,108.65325,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
50.0,3.0,62,4011,33.1,38.581,64,OFF,1081.508430411224,143.56633333333335,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
53.0,4.0,62,4011,33.1,40.905,64,OFF,1124.203985291139,106.59275,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
57.0,3.0,62,4011,33.1,39.651,64,OFF,1147.2824500991405,140.98366666666666,0.0,2969000,S1-HS-2,20260201_174510,20260201_174510_S1-HS-2,1,1,0,1,0,,0,0.0
