t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,brightness_norm
0.0,0.0,58,3962,28.6,35.322,30,ON,1564.9899999999998,,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
0.0,3.0,58,3962,28.6,39.196,30,ON,1564.9899999999998,158.28666666666666,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
3.0,4.0,58,3962,28.6,35.995,30,ON,1851.876,107.12025,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
7.0,3.0,58,3962,28.6,36.412,30,ON,1690.493,150.189,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
10.0,4.0,58,3962,28.6,35.224,30,ON,1777.591,113.36275,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
14.0,3.0,58,3962,28.6,34.754,30,ON,1713.814,152.923,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
17.0,4.0,58,3962,28.6,37.641,30,ON,2309.72,114.73025,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
21.0,4.0,58,3962,28.6,39.856,30,ON,1862.805,112.6605,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
25.0,3.0,58,3962,28.6,36.911,30,ON,1697.9820000000002,146.75133333333335,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
28.0,4.0,58,3962,28.6,36.569,30,ON,1808.349,116.72625,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
32.0,3.0,58,3962,28.6,38.148,30,ON,1733.604,155.908,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
35.0,4.0,58,3962,28.6,35.689,30,ON,1828.134,115.14525,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
39.0,3.0,58,3962,28.6,35.59,30,ON,2445.9,156.85433333333333,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
42.0,4.0,58,3962,28.6,36.883,30,ON,1880.05,113.78525,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
46.0,3.0,58,3962,28.6,34.891,30,ON,1689.639,155.68166666666667,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
49.0,4.0,58,3962,28.6,34.839,30,ON,1720.86,113.7895,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
53.0,4.0,58,3962,28.6,41.143,30,ON,1883.532,115.23125,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
57.0,3.0,58,3962,28.6,35.407,30,ON,1914.22,153.12333333333333,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
60.0,4.0,58,3962,28.6,42.583,30,ON,1728.772,119.64425,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
64.0,3.0,58,3962,28.6,34.428,30,ON,2005.692,150.302,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
67.0,4.0,58,3962,28.6,38.467,30,ON,1891.446,112.8075,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
71.0,3.0,58,3962,28.6,36.322,30,ON,1815.804,151.55233333333334,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
74.0,4.0,58,3962,28.6,35.426,30,ON,2593.178,114.9445,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
78.0,3.0,58,3962,28.6,37.239,30,ON,2328.317,152.70666666666668,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
81.0,4.0,58,3962,28.6,35.055,30,ON,1720.86,112.74475,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
85.0,3.0,58,3962,28.6,35.675,30,ON,2126.714,161.743,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
88.0,4.0,58,3962,28.6,37.584,30,ON,1759.975,113.60025,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
92.0,4.0,58,3962,28.6,35.633,30,ON,1767.438,115.9285,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
96.0,3.0,58,3962,28.6,48.766,30,ON,1904.382,149.44866666666667,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
99.0,4.0,58,3962,28.6,37.556,30,ON,1763.4840000000002,112.0395,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
103.0,3.0,58,3962,28.6,39.621,30,ON,1795.116,154.934,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
106.0,4.0,58,3962,28.6,35.091,30,ON,1889.534,121.8405,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
110.0,3.0,58,3962,28.6,37.169,30,ON,1950.806,157.09,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
113.0,4.0,58,3962,28.6,38.709,30,ON,1987.856,113.362,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
117.0,3.0,58,3962,28.6,36.222,30,ON,2014.5,145.88633333333334,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
120.0,4.0,58,3962,28.6,35.098,30,ON,1864.872,115.537,560.849,2767000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
124.0,4.0,57,3947,28.6,37.96,30,ON,1924.137,115.072,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
128.0,3.0,57,3947,28.6,35.633,30,ON,2002.65,151.11233333333334,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
