t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
0.0,0.0,39,3767,29.2,40.222,55,OFF,,,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
0.0,5.0,39,3767,29.2,37.011,55,OFF,,94.1848,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
5.0,3.0,39,3767,29.2,36.512,55,OFF,,139.615,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
8.0,4.0,39,3767,29.2,34.805,55,OFF,,119.8515,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
12.0,3.0,39,3767,29.2,35.399,55,OFF,,145.73966666666666,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
15.0,4.0,39,3767,29.2,41.069,55,OFF,,114.729,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
19.0,4.0,39,3767,29.2,37.671,55,OFF,,105.01875,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
23.0,3.0,39,3767,29.2,35.082,55,OFF,,150.89366666666666,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
26.0,4.0,39,3767,29.2,35.407,55,OFF,,116.16825,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
30.0,3.0,39,3767,29.2,35.548,55,OFF,,202.17,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
33.0,5.0,39,3767,29.2,37.339,55,OFF,,89.0604,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
38.0,4.0,39,3767,29.3,34.369,55,OFF,,112.78825,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
42.0,3.0,39,3767,29.3,35.266,55,OFF,,152.42166666666665,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
45.0,4.0,39,3767,29.3,34.74,55,OFF,,106.409,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
49.0,4.0,39,3767,29.3,35.182,55,OFF,,113.15375,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
53.0,3.0,39,3767,29.3,34.861,55,OFF,,151.71633333333332,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
56.0,4.0,39,3767,29.3,34.831,55,OFF,,109.55075,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
60.0,3.0,39,3767,29.3,35.852,55,OFF,,182.955,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
63.0,5.0,39,3767,29.3,35.492,55,OFF,,107.42519999999999,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
68.0,4.0,39,3767,29.3,36.153,55,OFF,,105.339,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
72.0,3.0,39,3767,29.3,34.036,55,OFF,,152.278,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
75.0,4.0,39,3767,29.3,34.049,55,OFF,,111.4845,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
79.0,3.0,39,3767,29.3,34.274,55,OFF,,141.91733333333335,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
82.0,4.0,39,3767,29.3,34.634,55,OFF,,106.182,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
86.0,4.0,39,3767,29.3,37.685,55,OFF,,108.459,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
90.0,3.0,39,3767,29.3,35.393,55,OFF,,146.679,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
93.0,4.0,39,3767,29.3,34.55,55,OFF,,132.70825,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
97.0,4.0,39,3767,29.3,34.273,55,OFF,,125.023,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
101.0,4.0,39,3767,29.3,35.93,55,OFF,,112.9635,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
105.0,4.0,39,3767,29.3,37.138,55,OFF,,122.466,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
109.0,3.0,39,3767,29.3,34.833,55,OFF,,145.43133333333333,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
112.0,4.0,39,3767,29.3,41.588,55,OFF,,117.42575,0.0,1871000,S3_idle,20260201_202137,20260201_202136_S3_idle,1,1,1,1,0,,1,0.0
