t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
0.0,0.0,33,3735,37.3,77.008,55,OFF,4440.915,,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
0.0,5.0,33,3735,37.3,77.135,55,OFF,4440.915,155.7644,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
5.0,4.0,33,3735,37.6,77.672,55,OFF,4795.62,191.187,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
9.0,4.0,33,3735,37.6,77.075,55,OFF,4949.71,189.62325,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
13.0,3.0,33,3735,37.6,77.433,55,OFF,5083.99,250.20066666666665,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
16.0,4.0,33,3735,37.6,77.485,55,OFF,4544.277999999999,185.75225,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
20.0,4.0,33,3735,37.6,77.632,55,OFF,4610.254999999999,194.78575,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
24.0,4.0,33,3735,37.6,77.593,55,OFF,4743.372,186.84125,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
28.0,3.0,33,3735,37.6,78.072,55,OFF,4686.136,351.0713333333333,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
31.0,5.0,33,3735,37.6,77.852,55,OFF,4642.608,147.3974,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
36.0,4.0,33,3735,37.8,77.625,55,OFF,4600.288,194.45675,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
40.0,4.0,33,3735,37.8,77.393,55,OFF,4480.799999999999,188.277,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
44.0,4.0,33,3735,37.8,77.772,55,OFF,4510.672,193.17725,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
48.0,3.0,33,3735,37.8,78.313,55,OFF,4534.289999999999,256.92733333333337,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
51.0,4.0,33,3735,37.8,78.493,55,OFF,5102.263,183.7865,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
55.0,4.0,33,3735,37.8,77.972,55,OFF,4819.16,184.7335,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
59.0,3.0,33,3735,37.8,76.48,55,OFF,4738.37,379.07466666666664,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
62.0,6.0,33,3735,37.8,72.842,55,OFF,4606.522,115.4635,0.0,1593000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
68.0,4.0,32,3738,38.1,72.62,55,OFF,4722.179999999999,177.4495,0.0,1559000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
72.0,4.0,32,3738,38.1,72.601,55,OFF,4115.538,172.4845,0.0,1559000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
76.0,4.0,32,3738,38.1,72.006,55,OFF,4055.73,174.821,0.0,1559000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
80.0,4.0,32,3738,38.1,72.812,55,OFF,4037.04,164.409,0.0,1559000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
84.0,4.0,32,3738,38.1,72.102,55,OFF,4221.68,165.504,0.0,1559000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
88.0,4.0,32,3738,38.1,72.17,55,OFF,4070.682,164.51875,0.0,1559000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
92.0,3.0,32,3738,38.1,72.639,55,OFF,4281.455999999999,332.1286666666667,0.0,1559000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
95.0,6.0,32,3738,38.4,72.236,55,OFF,4140.596,110.37633333333333,0.0,1559000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
101.0,4.0,32,3738,38.4,71.777,55,OFF,4156.656,177.73525,0.0,1559000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
105.0,4.0,32,3738,38.4,71.586,55,OFF,4214.2080000000005,184.288,0.0,1559000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
109.0,4.0,32,3738,38.4,71.796,55,OFF,4038.12,162.07925,0.0,1559000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
113.0,4.0,32,3738,38.4,71.673,55,OFF,4010.8739999999993,165.5125,0.0,1559000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
117.0,3.0,32,3738,38.4,71.853,55,OFF,4081.896,225.465,0.0,1559000,S3_load_t4,20260201_204550,20260201_204549_S3_load_t4,1,1,1,1,0,,1,0.0
