t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
0.0,0.0,99,4377,35.7,46.745,55,ON,1517.5559999999998,,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
0.0,3.0,99,4377,35.7,42.353,55,ON,1517.5559999999998,153.478,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
3.0,4.0,99,4377,35.7,42.943,55,ON,2631.944,120.34175,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
7.0,3.0,99,4377,35.7,43.295,55,ON,2024.946,163.167,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
10.0,4.0,99,4377,35.7,41.652,55,ON,1774.7099999999998,121.41425,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
14.0,4.0,99,4377,35.7,44.042,55,ON,1718.136,118.42475,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
18.0,3.0,99,4377,35.7,43.502,55,ON,1665.54,162.92466666666667,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
21.0,4.0,99,4377,35.7,41.513,55,ON,1674.306,116.02675,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
25.0,3.0,99,4377,35.7,42.806,55,ON,1865.454,160.448,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
28.0,4.0,99,4377,35.7,41.965,55,ON,1940.34,121.322,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
32.0,4.0,99,4377,35.7,42.428,55,ON,1857.544,121.24525,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
36.0,3.0,99,4377,35.7,46.624,55,ON,1647.632,159.53966666666668,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
39.0,4.0,99,4377,35.7,43.945,55,ON,1617.327,118.5625,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
43.0,3.0,99,4377,35.7,42.475,55,ON,1595.776,159.59833333333333,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
46.0,4.0,99,4377,35.6,42.339,55,ON,1935.96,120.67325,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
50.0,3.0,99,4377,35.6,42.177,55,ON,1643.625,165.625,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
53.0,4.0,99,4377,35.6,42.188,55,ON,1613.312,116.788,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
57.0,3.0,99,4377,35.6,42.668,55,ON,1700.6039999999998,154.11833333333334,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
60.0,4.0,99,4377,35.6,43.063,55,ON,1781.8459999999998,119.13325,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
64.0,3.0,99,4377,35.6,42.901,55,ON,2669.97,162.43466666666666,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
67.0,4.0,99,4377,35.6,41.638,55,ON,1813.32,122.60175,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
71.0,3.0,99,4377,35.6,43.123,55,ON,1543.168,156.88666666666668,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
74.0,4.0,99,4377,35.5,42.159,55,ON,1778.686,119.278,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
78.0,3.0,99,4377,35.5,42.864,55,ON,1621.71,152.992,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
81.0,4.0,99,4377,35.5,43.432,55,ON,1683.072,121.9785,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
85.0,4.0,99,4377,35.5,42.173,55,ON,1643.625,118.7875,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
89.0,3.0,99,4377,35.5,41.98,55,ON,1608.561,161.36533333333333,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
92.0,4.0,99,4377,35.5,45.271,55,ON,1691.0660000000005,120.356,0.0,4752000,S4,20260202_003842,20260202_003841_S4,0,1,1,0,0,,0,0.0
