t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
0.0,0.0,98,4377,34.9,42.568,55,ON,1683.22,,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
0.0,3.0,98,4377,34.9,42.174,55,ON,1683.22,160.94366666666667,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
3.0,4.0,98,4377,34.9,43.048,55,ON,1730.9160000000002,129.375,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
7.0,4.0,98,4377,34.9,53.934,55,ON,1726.9399999999996,125.91325,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
11.0,3.0,98,4377,34.9,43.639,55,ON,1778.997,155.09666666666666,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
14.0,4.0,98,4377,34.9,41.86,55,ON,2176.26,127.337,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
18.0,3.0,98,4377,34.9,42.249,55,ON,1704.69,164.282,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
21.0,4.0,98,4377,34.9,41.413,55,ON,1660.98,124.17075,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
25.0,3.0,98,4377,34.9,42.982,55,ON,1582.6639999999998,160.88933333333333,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
28.0,4.0,98,4377,34.9,41.74,55,ON,1726.9399999999996,115.47075,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
32.0,3.0,98,4377,34.9,42.068,55,ON,1868.648,163.28633333333332,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
35.0,4.0,98,4377,34.9,44.21,55,ON,1613.268,126.33975,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
39.0,4.0,98,4377,34.9,58.042,55,ON,1630.383,130.41625,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
43.0,3.0,98,4377,34.9,41.393,55,ON,1630.756,161.53900000000002,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
46.0,4.0,98,4377,34.9,42.294,55,ON,2620.2000000000003,118.23975,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
50.0,3.0,98,4377,34.9,42.099,55,ON,1621.641,160.274,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
53.0,4.0,98,4377,34.9,41.292,55,ON,1809.594,122.0205,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
57.0,3.0,98,4377,34.9,40.643,55,ON,1695.56,165.81733333333332,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
60.0,4.0,98,4377,34.9,43.457,55,ON,1643.496,119.15075,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
64.0,3.0,98,4377,34.9,41.503,55,ON,1608.5280000000002,158.49566666666666,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
67.0,4.0,98,4377,34.9,41.221,55,ON,2462.4239999999995,120.3325,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
71.0,3.0,98,4377,34.9,41.801,55,ON,1892.643,169.46966666666665,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
74.0,4.0,98,4377,34.9,42.038,55,ON,1699.9299999999998,121.43025,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
78.0,3.0,98,4377,34.8,43.226,55,ON,1586.6730000000002,158.691,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
81.0,4.0,98,4377,34.8,41.028,55,ON,1665.732,117.10675,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
85.0,3.0,98,4377,34.8,40.717,55,ON,1647.1129999999998,159.39000000000001,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
88.0,4.0,98,4377,34.8,40.95,55,ON,1621.641,121.91425,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
92.0,3.0,98,4377,34.8,40.592,55,ON,1634.38,161.41733333333335,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
95.0,4.0,98,4377,34.8,42.475,55,ON,1691.1899999999998,123.01975,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
99.0,3.0,98,4377,34.8,49.161,55,ON,1787.739,164.455,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
102.0,4.0,98,4377,34.8,42.821,55,ON,1859.064,117.86075,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
106.0,3.0,98,4377,34.8,42.629,55,ON,2492.986,162.25066666666666,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
109.0,4.0,98,4377,34.8,43.356,55,ON,1617.2700000000002,123.24375,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
113.0,3.0,98,4377,34.8,42.174,55,ON,1682.45,159.86066666666667,0.0,4692000,S4-1,20260202_004754,20260202_004753_S4-1,1,1,1,1,0,,0,0.0
