t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
0.0,0.0,91,4310,34.2,47.072,255,ON,1567.0199999999998,,1843.861,4365000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
0.0,4.0,91,4310,34.2,40.05,255,ON,1567.0199999999998,119.02875,1843.861,4365000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
4.0,3.0,91,4310,34.2,39.801,255,ON,1858.464,162.04066666666668,1843.861,4365000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
7.0,4.0,91,4310,34.2,41.726,255,ON,1845.987,127.01975,1843.861,4365000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
11.0,4.0,91,4310,34.2,41.203,255,ON,1863.199,129.3085,1843.861,4365000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
15.0,3.0,91,4310,34.2,42.099,255,ON,1858.896,168.572,1843.861,4365000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
18.0,4.0,91,4299,34.2,40.998,255,ON,2051.577,125.41975,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
22.0,4.0,91,4299,34.2,47.156,255,ON,1704.3839999999998,127.155,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
26.0,3.0,91,4299,34.2,39.91,255,ON,1798.654,159.053,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
29.0,4.0,91,4299,34.2,40.55,255,ON,1815.444,126.348,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
33.0,4.0,91,4299,34.2,41.199,255,ON,1815.444,125.69575,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
37.0,3.0,91,4299,34.2,41.473,255,ON,1874.364,169.59133333333332,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
40.0,4.0,91,4299,34.2,44.562,255,ON,1918.692,125.55,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
44.0,4.0,91,4299,34.2,41.758,255,ON,1798.236,129.092,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
48.0,4.0,91,4299,34.2,43.396,255,ON,1866.634,122.83725,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
52.0,3.0,91,4299,34.2,40.536,255,ON,1942.696,158.95133333333334,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
55.0,4.0,91,4299,34.2,41.263,255,ON,1887.7,122.8225,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
59.0,4.0,91,4299,34.2,41.367,255,ON,1891.56,125.49425,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
63.0,3.0,91,4299,34.2,40.54,255,ON,1909.2,166.681,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
66.0,4.0,91,4299,34.2,45.546,255,ON,1892.0,131.96825,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
70.0,4.0,91,4299,34.2,51.224,255,ON,1840.4,129.6855,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
74.0,3.0,91,4299,34.2,41.71,255,ON,1892.0,161.86766666666668,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
77.0,4.0,91,4299,34.3,42.054,255,ON,1806.0,127.8465,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
81.0,4.0,91,4299,34.3,43.8,255,ON,2010.528,129.021,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
85.0,3.0,91,4299,34.3,40.781,255,ON,1947.447,170.28133333333332,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
88.0,4.0,91,4299,34.3,40.965,255,ON,2110.318,129.11525,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
92.0,4.0,91,4299,34.3,44.401,255,ON,1933.65,122.8445,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
96.0,4.0,91,4299,34.3,42.946,255,ON,2020.06,119.34425,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
100.0,3.0,91,4299,34.3,40.096,255,ON,1972.782,165.96666666666667,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
103.0,4.0,91,4299,34.3,42.475,255,ON,1946.994,125.81575,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
107.0,4.0,91,4299,34.3,40.998,255,ON,1904.4570000000003,126.86325,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
111.0,3.0,91,4299,34.3,48.115,255,ON,1831.374,177.376,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
114.0,4.0,91,4299,34.3,41.175,255,ON,2028.656,124.26,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
118.0,4.0,91,4299,34.3,43.019,255,ON,2174.282,123.736,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
122.0,3.0,91,4299,34.3,40.772,255,ON,1878.226,162.97299999999998,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
125.0,4.0,91,4299,34.3,41.874,255,ON,1955.1349999999995,132.3255,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
129.0,4.0,91,4299,34.3,41.801,255,ON,1886.822,127.13375,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
133.0,3.0,91,4299,34.3,40.728,255,ON,1894.977,169.00266666666667,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
136.0,4.0,91,4299,34.3,41.934,255,ON,2615.655,126.71325,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
140.0,4.0,91,4299,34.3,41.423,255,ON,1938.398,125.282,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
144.0,3.0,91,4299,34.3,40.786,255,ON,1788.8,157.181,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
147.0,4.0,91,4299,34.3,41.951,255,ON,1736.796,119.21275,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
151.0,4.0,91,4299,34.3,40.229,255,ON,2028.1839999999995,125.486,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
155.0,3.0,91,4299,34.3,42.248,255,ON,1937.947,168.46733333333333,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
158.0,4.0,91,4299,34.3,40.936,255,ON,2014.355,123.653,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
162.0,4.0,91,4299,34.3,41.696,255,ON,2544.563,123.9565,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
166.0,3.0,91,4299,34.3,45.58,255,ON,1971.405,163.63733333333332,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
169.0,4.0,91,4299,34.3,40.816,255,ON,1950.384,117.99125,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
173.0,4.0,91,4299,34.3,45.394,255,ON,1958.976,124.3335,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
177.0,3.0,91,4299,34.3,42.825,255,ON,1971.864,164.98766666666668,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
180.0,4.0,91,4299,34.3,40.488,255,ON,1933.2,124.5745,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
184.0,4.0,91,4299,34.3,42.147,255,ON,2154.584,124.32325,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
188.0,3.0,91,4299,34.3,46.931,255,ON,2406.32,165.55233333333334,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
191.0,4.0,91,4299,34.3,40.905,255,ON,1796.1459999999995,120.18375,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
195.0,4.0,91,4299,34.3,40.875,255,ON,1881.648,123.198,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
199.0,4.0,91,4299,34.3,41.473,255,ON,1945.635,126.50575,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
203.0,3.0,91,4299,34.3,41.369,255,ON,1911.72,167.40566666666666,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
206.0,4.0,91,4299,34.3,40.831,255,ON,1940.888,124.2215,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
210.0,4.0,91,4299,34.3,45.461,255,ON,3104.512,121.84375,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
214.0,3.0,91,4299,34.3,41.412,255,ON,1950.384,162.41166666666666,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
217.0,4.0,91,4299,34.3,43.174,255,ON,2031.062,118.97175,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
221.0,4.0,91,4299,34.3,41.456,255,ON,2009.592,122.06975,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
225.0,3.0,91,4299,34.3,41.292,255,ON,1996.245,168.33066666666667,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
228.0,4.0,91,4299,34.4,40.234,255,ON,1855.8720000000003,125.51875,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
232.0,4.0,91,4299,34.4,42.192,255,ON,2452.736,120.22675,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
236.0,3.0,91,4299,34.4,40.702,255,ON,1877.789,160.27033333333333,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
239.0,4.0,91,4299,34.4,41.352,255,ON,1817.208,119.243,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
243.0,4.0,91,4299,34.4,42.644,255,ON,1834.392,124.90725,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
247.0,3.0,91,4299,34.4,41.921,255,ON,1838.688,165.19933333333333,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
250.0,4.0,91,4299,34.4,40.89,255,ON,1864.03,126.11325,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
254.0,4.0,91,4299,34.4,41.295,255,ON,2238.858,125.307,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
258.0,3.0,91,4299,34.4,47.705,255,ON,2481.932,163.25199999999998,1839.155,4348000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
261.0,4.0,90,4282,34.4,41.681,255,ON,1978.612,122.35125,1831.882,4316000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
265.0,4.0,90,4282,34.4,41.441,255,ON,1931.85,124.94025,1831.882,4316000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
269.0,3.0,90,4282,34.4,41.099,255,ON,1961.444,167.01866666666666,1831.882,4316000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
272.0,4.0,90,4282,34.4,41.235,255,ON,1897.506,125.90325,1831.882,4316000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
276.0,4.0,90,4282,34.4,46.341,255,ON,1944.729,125.31575,1831.882,4316000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
280.0,3.0,90,4282,34.4,42.04,255,ON,2594.24,166.40766666666667,1831.882,4316000,S2_b255,20260202_013430,20260202_013427_S2_b255,1,1,1,1,1,255.0,0,1.0
