t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,wifi_on,cellular_on,gps_on_cfg,screen_on_cfg,brightness_target,cpu_test,brightness_norm
0.0,0.0,88,4245,34.4,42.445,30,ON,1959.012,,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
0.0,4.0,88,4245,34.5,44.18,30,ON,1959.012,142.461,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
4.0,5.0,88,4245,34.5,43.208,30,ON,1661.808,101.829,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
9.0,3.0,88,4245,34.5,41.726,30,ON,1576.737,155.77466666666666,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
12.0,4.0,88,4245,34.5,41.622,30,ON,1572.0960000000002,119.094,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
16.0,4.0,88,4245,34.5,42.565,30,ON,1746.43,119.48525,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
20.0,3.0,88,4245,34.5,41.921,30,ON,1589.556,170.99333333333334,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
23.0,4.0,88,4245,34.5,41.577,30,ON,2159.608,122.65475,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
27.0,4.0,88,4245,34.5,47.406,30,ON,1850.642,123.04125,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
31.0,3.0,88,4245,34.5,41.846,30,ON,1606.648,158.71333333333334,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
34.0,4.0,88,4245,34.5,41.184,30,ON,1623.36,123.5395,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
38.0,4.0,88,4245,34.5,42.716,30,ON,1777.152,116.88225,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
42.0,3.0,88,4245,34.5,43.12,30,ON,1598.102,150.54266666666666,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
45.0,4.0,88,4245,34.5,41.213,30,ON,2370.784,111.66475,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
49.0,3.0,88,4245,34.5,40.352,30,ON,1691.712,147.24933333333334,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
52.0,3.0,88,4245,34.5,41.695,30,ON,1602.3749999999998,150.53933333333333,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
55.0,4.0,88,4245,34.5,41.307,30,ON,1648.9920000000002,117.91525,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
59.0,3.0,88,4245,34.5,41.771,30,ON,1673.84,154.785,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
62.0,4.0,88,4245,34.5,42.834,30,ON,1474.185,116.24375,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
66.0,3.0,88,4245,34.5,40.289,30,ON,1610.544,148.13466666666667,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
69.0,4.0,88,4245,34.5,40.647,30,ON,1619.0880000000002,117.6115,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
73.0,3.0,88,4245,34.5,42.024,30,ON,1504.0959999999998,153.27233333333334,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
76.0,3.0,88,4245,34.5,42.084,30,ON,1766.9519999999998,161.49466666666666,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
79.0,4.0,88,4245,34.5,41.801,30,ON,1661.808,112.5725,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
83.0,3.0,88,4245,34.5,42.523,30,ON,1584.912,150.40466666666666,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
86.0,4.0,88,4245,34.5,40.983,30,ON,1593.083,121.15125,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
90.0,3.0,88,4245,34.5,43.113,30,ON,1551.0989999999997,157.72833333333332,600.91,4211000,S2_b30_1,20260202_015309,20260202_015305_S2_b30_1,1,1,1,1,1,30.0,0,0.11764705882352941
