run_name,thermal_model,t_amb_C,a_cpu_per_s,b_cpu_C_per_J,a_batt_per_s,b_couple_per_s,tau_cpu_s,tau_batt_s,leak_temp_mix_cpu
20260131_230812_S1-HS-1,2state,34.5,-0.17946717467426282,8.841197447601449,-0.0008975480799642884,2.03091537837291e-05,5.572049606369654,1114.1464422048432,0.7
20260201_174510_S1-HS-2,2state,29.3,-0.1871843511121496,9.092401978544313,-0.0013312601510571485,0.0,5.342326930956212,751.167981108654,0.7
20260201_183735_S2_b90,2state,28.7,-0.2751272724895921,17.076022871743525,-0.0021529608010583227,0.0,3.6346814728729933,464.4766404982542,0.7
20260201_185149_S2_b150,2state,28.3,-0.25647899401845103,15.731731462105147,-0.014599375473703416,8.431114945056248e-05,3.898954781178143,68.4960806577797,0.7
20260201_190712_S2_b210,2state,28.7,-0.2646959021632639,15.883283283830956,-0.003507198500153879,0.00014092220403517694,3.7779202164724186,285.1278591605593,0.7
20260201_193915_S2_b30_1,2state,28.6,-0.20374180012240606,12.56671205446267,-0.0036040317977852282,0.0004257666009109404,4.908172988553208,277.4670302893904,0.7
20260201_204549_S3_load_t4,2state,37.3,-0.005,0.0,-0.0031110730114561787,0.00026279113278571977,200.0,321.4325077931671,0.7
20260201_213514_S4,2state,34.5,-0.23905370431466413,13.417035611573827,-0.001708064823369147,0.0,4.1831604444987365,585.4578739157606,0.7
20260201_215338_S4-1,2state,33.2,-0.18218894482691186,10.426981427121548,-0.0022532317521557575,0.0,5.488807243216911,443.80698924700476,0.7
20260202_002928_S4,2state,35.1,-0.1182770971658207,8.705281727210664,-0.0032418001688035137,0.0001760181575627685,8.454722207106858,308.47058668921005,0.7
20260202_003841_S4,2state,34.9,-0.23507581014188925,12.515343560485851,-0.003389146083261689,0.0,4.253946841218629,295.0595741324928,0.7
20260202_004753_S4-1,2state,34.5,-0.2069997850011519,11.008044610437317,-0.004283629542124187,1.5493064361654294e-05,4.830922891994478,233.4468912790519,0.7
20260202_005707_S4-1,2state,34.4,-0.2515322143977301,13.530256220679714,-0.006868824376111268,2.5984522370973593e-06,3.9756339059567565,145.58532075413788,0.7
20260202_010635_S2_b005,2state,34.4,-0.2761398890519662,15.85884844037603,-0.003538291337356576,7.862245143529909e-05,3.621352943369265,282.6222898725718,0.7
20260202_011551_S2_b010,2state,34.7,-0.2233949068454174,12.326141621674443,-0.014522555964485859,7.229371769915611e-05,4.476377792677118,68.858402229294,0.7
20260202_012509_S2_b060,2state,34.2,-0.2326738323172855,12.240311676852613,-0.003033548834954893,0.0,4.2978619041111195,329.6469100735177,0.7
20260202_013427_S2_b255,2state,34.2,-0.2258867330527263,12.36339013167903,-0.0025702360788155106,6.890550447708981e-05,4.42699748889892,389.0693186677422,0.7
20260202_014345_S2_b30_1,2state,34.4,-0.2894413714282353,16.821038073132218,-0.03230283441113494,2.111310986935508e-05,3.4549311146003263,30.957035759539888,0.7
20260202_015305_S2_b30_1,2state,34.4,-0.27116261770709393,14.621514506139695,-0.004133524019575673,0.0,3.687823965028196,241.92432299030284,0.7
20260202_214935_S3_load_t1,2state,33.6,-0.22082106748962835,14.568796917077895,-0.0053197913306563946,1.2962546554392352e-05,4.528553418241983,187.97729795101057,0.7
20260202_215851_S3_load_t2,2state,33.6,-0.14562396500885538,10.731342992700554,-0.0022788745422181646,0.00011165530006967801,6.867001595095904,438.8130989548202,0.7
20260202_220816_S3_load_t4,2state,34.0,-0.12252342084291842,10.186408632536416,-0.003363362646830119,0.000228955654637861,8.161704865244118,297.32149191300374,0.7
20260202_221733_S3_load_t6,2state,34.9,-0.11879981646670854,11.458570261493824,-0.0009675736916633281,0.0001668633728154973,8.417521421678556,1033.5130115835714,0.7
20260202_222646_S3_load_t8,2state,36.3,-0.04634633640039849,5.197262955494102,-0.0013282828378818746,0.00021809515939280962,21.57667849645613,752.8517055860138,0.7
