term,coef
intercept,25040.473123571574
scen_S1-HS-2,232.3697245491762
scen_S2_b005,183.69393519169802
scen_S2_b010,739.9326852407913
scen_S2_b060,550.6156377030645
scen_S2_b150,649.2315929622732
scen_S2_b210,692.2208336601897
scen_S2_b255,451.28004437999834
scen_S2_b30,1279.445659787778
scen_S2_b30_1,394.58915532457064
scen_S2_b90,776.9273093472272
scen_S3_load_t1,762.2424074844799
scen_S3_load_t2,961.6378225292639
scen_S3_load_t4,708.7545007084066
scen_S3_load_t6,1054.8316540031067
scen_S3_load_t8,1051.267224455697
scen_S4,309.09357027026425
scen_S4-1,537.4600086587965
battery_level0_pct,86.66201751060571
voltage_V,-7831.128789309741
thermal_cpu0_C,85.23609634430282
thermal_batt0_C,-47.67200320792892
