scenario,scale_s,beta_0,beta_1,beta_2
S1-HS-1,1.3866872608630365,0.004008070916722992,0.0012060400172456524,0.038924755605053124
S1-HS-2,1.3767144681022654,0.004004655765980182,0.0012063063276080714,0.03892225967226841
S2_b005,1.3815479790342944,0.003973179210300549,0.0012108257336322793,0.03876257458710375
S2_b010,1.376005384417846,0.003812269416943374,0.0012003773048599605,0.0387821806961431
S2_b060,1.381630300546544,0.0040204802786881644,0.001207051394678664,0.03893117974790392
S2_b150,1.3758513081556198,0.004005775549869722,0.0012068696099685554,0.038922165475785614
S2_b210,1.3757395043451937,0.0036293175148378117,0.0010159638073464219,0.03879833356233529
S2_b255,1.384933254826937,0.004089682526420297,0.0012050254871092717,0.03919172731404417
S2_b30_1,1.3807746956344826,0.003963409680346807,0.0012068254118547197,0.03878575640720659
S2_b90,1.3759344974700667,0.004005394858046736,0.0012066671978755983,0.03892218758733743
S3_load_t1,1.3760322676920962,0.0037596135822115804,0.0011512531305277911,0.038735927879962904
S3_load_t2,1.3763734390654583,0.0032590266313230606,0.001022488205302161,0.03815295801751763
S3_load_t4,1.398686021351915,0.00399462700842318,0.0012037119410192596,0.03887017159513064
S3_load_t6,1.4341202705422433,0.003545285829248077,0.0010713835356592873,0.035762095854427405
S3_load_t8,2.3641803845060103,0.003654503339229107,0.0009863240971722796,0.02352131715645552
S4,1.3860234618660943,0.004071863908023628,0.001190383004024079,0.039247696536952974
S4-1,1.376685610240842,0.004030680727928313,0.0012059563599725457,0.03893816380504373
