scenario,beta_0,beta_1
S1-HS-1,0.30730114392067115,1.376916106423891
S1-HS-2,0.2984610071647696,1.4183117529621017
S2_b005,0.2841471101116153,1.4496525556539244
S2_b010,0.27318523264144007,1.4828488312006325
S2_b060,0.32683976415842153,1.3193015940069512
S2_b150,0.23800177092987002,1.7414360117328465
S2_b210,0.26388289048084085,1.5917988219214307
S2_b255,0.35336257738160753,1.2419127419210472
S2_b30_1,0.33452360882338456,1.3028473413634094
S2_b90,0.2611904290187191,1.6242681164961423
S3_load_t1,0.29864254329246087,1.397833788398684
S3_load_t2,0.2718212723222259,1.396203322224706
S3_load_t4,0.32400741996919324,1.4115345643692896
S3_load_t6,0.29724652794360823,1.374104240022862
S3_load_t8,0.30938036955772136,0.8716768307201509
S4,0.34634450422571567,1.2495026245516982
S4-1,0.3557269267689095,1.222220671527622
