scenario,beta_0,beta_1,beta_2
S1-HS-1,0.20896360360830296,0.2106594281491159,0.0359893833629583
S1-HS-2,0.20867589237072978,0.21527730034086623,0.0359095671705948
S2_b005,0.2080748275903113,0.20933381644742444,0.0361487686566269
S2_b010,0.1815084081488823,0.22582854002012087,0.037507211996851565
S2_b060,0.21899132511907848,0.2071859593574578,0.03538236247311721
S2_b150,0.22564022222029229,0.24313138409472257,0.034164668243761104
S2_b210,0.17149941542413544,0.1458887181402601,0.03975915173314772
S2_b255,0.23271437520766997,0.1887390582092299,0.03538673811226092
S2_b30_1,0.22369768704745385,0.207625581297664,0.03508981890495404
S2_b90,0.22098743102838472,0.23392452419550033,0.034673017432150885
S3_load_t1,0.17900662755511362,0.20508001843629126,0.03804104089327122
S3_load_t2,0.09799760858989852,0.17142752910270018,0.043660489494216775
S3_load_t4,0.22611694570791518,0.2196458934915085,0.035982631918275124
S3_load_t6,0.19473306762278508,0.204147173719297,0.03585419719318307
S3_load_t8,0.2398825617563304,0.2047259767182844,0.028975370098437463
S4,0.23716545128528793,0.1573076262845433,0.03606574516567475
S4-1,0.23185808680266162,0.19585080745775066,0.03474063348556336
