split,run_name,scenario,n_samples,p_meas_mean_mW,p_pred_mean_mW,p_rel_err_pct,rmse_soc_pct,qc_keep,battery_level0_pct,thermal_cpu0_C,perfetto_current_mean_uA,perfetto_voltage_mean_V,resid_mW,p_loss_hat_W,p_pred_mean_mW_corr_i2r,resid_corr_mW
LOSO:S1-HS-1,20260131_230812_S1-HS-1,S1-HS-1,319,1217.780708736924,1887.9984815586852,55.03599851872411,0.92452327451081,1,98.0,42.083,269663.9566395664,4.369228893058162,-670.2177728217612,0.01722818498856422,1905.2266665472494,-687.4459578103254
LOSO:S1-HS-2,20260201_174510_S1-HS-2,S1-HS-2,339,1103.2962390833045,1544.6176315065727,40.00026255776498,0.6531415051766912,1,62.0,40.175,268757.7652699604,4.024820929747759,-441.3213924232682,0.03131241323411101,1575.9300447406838,-472.6338056573793
LOSO:S2_b005,20260202_010635_S2_b005,S2_b005,150,1925.21624,1820.0589807983729,-5.462101192416031,0.4125260289578951,1,95.0,49.404,455281.8139750116,4.335531235539103,105.15725920162708,0.09840325932944563,1918.4622401278184,6.753999872181566
LOSO:S2_b010,20260202_011551_S2_b010,S2_b010,147,1925.7268299319728,1798.4136945696775,-6.611173162436152,0.2910475105497221,1,94.0,42.372,451655.2521980564,4.321703378065711,127.31313536229527,0.0475486809496261,1845.9623755193036,79.76445441266924
LOSO:S2_b060,20260202_012509_S2_b060,S2_b060,147,1652.4545646258505,1836.722682087318,11.151176038730588,0.5793714892582859,1,92.0,41.86,393014.3452105506,4.311219805645535,-184.26811746146745,0.043784707621130986,1880.507389708449,-228.05282508259847
LOSO:S2_b150,20260201_185149_S2_b150,S2_b150,151,1673.8015393122892,1707.708085737961,2.0257208294600435,0.3716384630213711,1,54.0,37.916,440197.5937066173,3.889747801943544,-33.90654642567188,0.1113573153611768,1819.065401099138,-145.2638617868488
LOSO:S2_b210,20260201_190712_S2_b210,S2_b210,151,1883.196119750428,1705.842782725421,-9.417677488020242,0.3489298526757494,1,51.0,41.254,495593.7066173068,3.866093937991671,177.3533370250068,0.11400698729433134,1819.8497700197524,63.346349730675456
LOSO:S2_b255,20260202_013427_S2_b255,S2_b255,147,1938.2774421768704,1970.914772911872,1.6838317376456955,0.3530943235717424,1,91.0,47.072,467728.3664969921,4.292753354928274,-32.63733073500157,0.10171223335481616,2072.627006266688,-134.3495640898177
LOSO:S2_b30_1,20260202_014345_S2_b30_1,S2_b30_1,148,1894.3651689189187,1800.4479022090366,-4.957717141910875,0.4750115076996334,1,90.0,45.777,459067.5613142064,4.277884775566867,93.91726670988214,0.0875512987363729,1887.9992009454095,6.365967973509214
LOSO:S2_b30_1,20260202_015305_S2_b30_1,S2_b30_1,158,1735.795898734178,1789.0734722936368,3.0693455145453084,0.3331576267043727,1,88.0,42.445,421146.2285978714,4.265329477093938,-53.27757355945869,0.058732322230096216,1847.805794523733,-112.009895789555
LOSO:S2_b90,20260201_183735_S2_b90,S2_b90,151,1603.388382419604,1683.023709409116,4.966689784126892,0.3676908788066293,1,56.0,36.029,413681.16612679313,3.913407218880149,-79.6353269895119,0.09033836475615924,1773.3620741652753,-169.9736917456712
LOSO:S3_load_t1,20260202_214935_S3_load_t1,S3_load_t1,149,1980.9037444119183,1828.8067839634664,-7.678160076051851,0.3997787778772102,1,77.0,42.463,464359.5557612217,4.139426191577972,152.0969604484519,0.07882682869155462,1907.633612655021,73.2701317568974
LOSO:S3_load_t2,20260202_215851_S3_load_t2,S3_load_t2,143,2276.1716968400638,1924.7200335911427,-15.440472427314235,0.3812747312396865,1,75.0,43.149,531554.3729754743,4.117780194354466,351.451663248921,0.08919970656756922,2013.9197401587119,262.2519566813519
LOSO:S3_load_t4,20260202_220816_S3_load_t4,S3_load_t4,152,2475.564933818211,2322.725564598734,-6.173918814714506,0.5480779056492406,1,74.0,49.719,622326.7006015733,4.092366496992134,152.83936921947725,0.25436706685446375,2577.0926314531976,-101.52769763498645
LOSO:S3_load_t6,20260202_221733_S3_load_t6,S3_load_t6,154,3031.8670064935063,2631.1029454295467,-13.218391842571672,0.6132023255373331,1,72.0,50.803,737308.6534012031,4.063363257751041,400.7640610639596,0.3626057460466574,2993.708691476204,38.15831501730236
LOSO:S3_load_t8,20260202_222646_S3_load_t8,S3_load_t8,154,3553.9323498749723,2836.1941924975367,-20.19560550731039,0.2877935131383092,1,69.0,57.426,881304.0259139288,4.029590467376215,717.7381573774355,0.6179632054633841,3454.157397960921,99.77495191405114
LOSO:S4,20260202_002928_S4,S4,152,2260.4441568109137,2216.7885837092317,-1.931282972425769,0.4702732118697336,1,100.0,49.132,503161.4993058769,4.384720962517353,43.655573101681966,0.12500344551428677,2341.7920292235185,-81.34787241260483
LOSO:S4,20260202_003841_S4,S4,152,1769.5886184210524,1731.9154320783005,-2.1289234091235576,0.366041169162433,1,99.0,46.745,389043.9611291069,4.377992133271634,37.67318634275193,0.06438714218339799,1796.3025742616985,-26.713955840646122
LOSO:S4-1,20260202_004753_S4-1,S4-1,152,1788.08894574416,1781.700065599406,-0.3573021442786974,0.2683662523558918,1,98.0,42.568,396298.010180472,4.365161036557149,6.388880144754012,0.0440544664555882,1825.7545320549941,-37.665586310834215
LOSO:S4-1,20260202_005707_S4-1,S4-1,152,1751.253697368421,1774.26868711332,1.3142007796747637,0.4008953029321482,1,97.0,41.396,395049.51411383617,4.352839426191578,-23.01498974489914,0.039420879292872364,1813.6895664061924,-62.435869037771454
