scenario,scale_s,beta_0,beta_1,beta_2
S1-HS-1,0.9511107820831849,0.10362938872802123,0.9924432680980134,0.028502572743564835
S1-HS-2,0.9591745433890749,0.10186327093517196,1.022409738874231,0.02804693373791073
S2_b005,0.9404227100024299,0.08933206585004934,1.0385156194930274,0.02846922663063641
S2_b010,0.9465710719921907,0.03866647266336233,1.1269444234408539,0.030367493334219505
S2_b060,0.9470714155877481,0.11895325209546491,0.9665854070176145,0.027942516201001067
S2_b150,0.9386508440258701,0.10017899951697871,1.3226628648693053,0.02240108524539596
S2_b210,0.9407146927555092,0.10375685221527156,0.8839667369452187,0.03052299761674588
S2_b255,0.9399602962866174,0.1504456257959152,0.8666437519472006,0.028154837610128863
S2_b30_1,0.9410610869954061,0.1186802292586187,0.979542638143452,0.027691637687764597
S2_b90,0.9456741995576212,0.10348416887586691,1.208811006588234,0.0243510639382711
S3_load_t1,0.9440465445581103,0.07287336348795373,0.9858760751234997,0.03066122677297036
S3_load_t2,0.9446129584089991,0.0,0.8749782855346202,0.037927568541667185
S3_load_t4,0.9341594966859331,0.12459995283279836,1.0251551316942902,0.02794828487475955
S3_load_t6,0.9277932204860987,0.09484564936349321,0.9786286948586506,0.028624458089891565
S3_load_t8,0.8228935948099959,0.14567740531410622,0.9392477065536358,0.022424624544023275
S4,0.9364141139970763,0.1568450194307354,0.7951622053186127,0.029148832879172467
S4-1,0.9378296101917571,0.1346515292861004,0.9225129459315297,0.02769914676459143
