split,run_name,scenario,n_samples,p_meas_mean_mW,p_pred_mean_mW,p_rel_err_pct,rmse_soc_pct,model_tag,resid_mW,abs_err_mW,qc_keep,qc_reject_reasons,battery_level0_pct,battery_voltage0_mV,thermal_cpu0_C,thermal_batt0_C,thermal_status0,battery_plugged0
LOSO:S1-HS-1,20260131_230812_S1-HS-1,S1-HS-1,319,1217.780708736924,1887.9984815586852,55.03599851872411,0.92452327451081,v2_1state,-670.2177728217612,670.2177728217612,1,,98.0,4376.0,42.083,35.1,0.0,
LOSO:S1-HS-2,20260201_174510_S1-HS-2,S1-HS-2,339,1103.2962390833045,1544.6176315065727,40.00026255776498,0.6531415051766912,v2_1state,-441.3213924232682,441.3213924232682,1,,62.0,4011.0,40.175,33.1,0.0,
LOSO:S2_b005,20260202_010635_S2_b005,S2_b005,150,1925.21624,1820.0589807983729,-5.462101192416031,0.4125260289578951,v2_1state,105.15725920162708,105.15725920162708,1,,95.0,4348.0,49.404,34.5,0.0,
LOSO:S2_b010,20260202_011551_S2_b010,S2_b010,147,1925.7268299319728,1798.4136945696775,-6.611173162436152,0.2910475105497221,v2_1state,127.31313536229527,127.31313536229527,1,,94.0,4333.0,42.372,34.7,0.0,
LOSO:S2_b060,20260202_012509_S2_b060,S2_b060,147,1652.4545646258505,1836.722682087318,11.151176038730588,0.5793714892582859,v2_1state,-184.26811746146745,184.26811746146745,1,,92.0,4314.0,41.86,34.7,0.0,
LOSO:S2_b150,20260201_185149_S2_b150,S2_b150,151,1673.8015393122892,1707.708085737961,2.0257208294600435,0.3716384630213711,v2_1state,-33.90654642567188,33.90654642567188,1,,54.0,3898.0,37.916,28.6,0.0,
LOSO:S2_b210,20260201_190712_S2_b210,S2_b210,151,1883.196119750428,1705.842782725421,-9.417677488020242,0.3489298526757494,v2_1state,177.3533370250068,177.3533370250068,1,,51.0,3880.0,41.254,28.7,0.0,
LOSO:S2_b255,20260202_013427_S2_b255,S2_b255,147,1938.2774421768704,1970.914772911872,1.6838317376456955,0.3530943235717424,v2_1state,-32.63733073500157,32.63733073500157,1,,91.0,4310.0,47.072,34.2,0.0,
LOSO:S2_b30_1,20260201_193915_S2_b30_1,S2_b30_1,151,1635.9583673169138,1611.289790387616,-1.507897598259547,0.2735597394474342,v2_1state,24.668576929297842,24.668576929297842,0,soc<50.0,46.0,3849.0,43.651,28.6,0.0,
LOSO:S2_b30_1,20260202_014345_S2_b30_1,S2_b30_1,148,1894.3651689189187,1800.4479022090366,-4.957717141910875,0.4750115076996334,v2_1state,93.91726670988214,93.91726670988214,1,,90.0,4282.0,45.777,34.4,0.0,
LOSO:S2_b30_1,20260202_015305_S2_b30_1,S2_b30_1,158,1735.795898734178,1789.0734722936368,3.0693455145453084,0.3331576267043727,v2_1state,-53.27757355945869,53.27757355945869,1,,88.0,4245.0,42.445,34.4,0.0,
LOSO:S2_b90,20260201_183735_S2_b90,S2_b90,151,1603.388382419604,1683.023709409116,4.966689784126892,0.3676908788066293,v2_1state,-79.6353269895119,79.6353269895119,1,,56.0,3926.0,36.029,28.9,0.0,
LOSO:S3_load_t1,20260202_214935_S3_load_t1,S3_load_t1,149,1980.9037444119183,1828.8067839634664,-7.678160076051851,0.3997787778772102,v2_1state,152.0969604484519,152.0969604484519,1,,77.0,4158.0,42.463,33.8,0.0,
LOSO:S3_load_t2,20260202_215851_S3_load_t2,S3_load_t2,143,2276.1716968400638,1924.7200335911427,-15.440472427314235,0.3812747312396865,v2_1state,351.451663248921,351.451663248921,1,,75.0,4136.0,43.149,33.6,0.0,
LOSO:S3_load_t4,20260201_204549_S3_load_t4,S3_load_t4,135,4175.206044444445,3680.0173143647057,-11.860222580838627,0.4055046999558661,v2_1state,495.18873007973934,495.18873007973934,0,soc<50.0;thermal_cpu0>60.0C,33.0,3735.0,77.008,37.3,0.0,
LOSO:S3_load_t4,20260202_220816_S3_load_t4,S3_load_t4,152,2475.564933818211,2322.725564598734,-6.173918814714506,0.5480779056492406,v2_1state,152.83936921947725,152.83936921947725,1,,74.0,4116.0,49.719,34.0,0.0,
LOSO:S3_load_t6,20260202_221733_S3_load_t6,S3_load_t6,154,3031.8670064935063,2631.1029454295467,-13.218391842571672,0.6132023255373331,v2_1state,400.7640610639596,400.7640610639596,1,,72.0,4087.0,50.803,34.9,0.0,
LOSO:S3_load_t8,20260202_222646_S3_load_t8,S3_load_t8,154,3553.9323498749723,2836.1941924975367,-20.19560550731039,0.2877935131383092,v2_1state,717.7381573774355,717.7381573774355,1,,69.0,4046.0,57.426,36.3,0.0,
LOSO:S4,20260201_213514_S4,S4,149,1230.9903020134227,1572.6735079343591,27.7567747984753,0.5207830292633867,v2_1state,-341.6832059209364,341.6832059209364,0,soc<50.0,42.0,3825.0,47.154,37.8,0.0,
LOSO:S4,20260202_002928_S4,S4,152,2260.4441568109137,2216.7885837092317,-1.931282972425769,0.4702732118697336,v2_1state,43.655573101681966,43.655573101681966,1,,100.0,4389.0,49.132,35.1,0.0,
LOSO:S4,20260202_003841_S4,S4,152,1769.5886184210524,1731.9154320783005,-2.1289234091235576,0.366041169162433,v2_1state,37.67318634275193,37.67318634275193,1,,99.0,4377.0,46.745,35.7,0.0,
