scenario,gamma,p,n_train,train_rmse_pos_mW,beta_0,beta_1,beta_2,beta_3
S1-HS-1,0.0,4,19,127.25916784764286,0.7816765797547643,0.47416827823294694,0.004951123776704194,0.0
S1-HS-2,0.0,4,19,122.42920668584759,0.7568212996658006,0.43614159278165543,0.006455461720180099,0.0
S2_b005,0.0,4,19,104.03747289293155,0.5902682294440547,0.599995511311835,0.011144251935777704,0.0
S2_b010,0.0,4,19,102.12984696334838,0.566180257867657,0.6339082813791151,0.011825835180326255,0.0
S2_b060,0.0,4,19,104.09388880267245,0.6307706603038841,0.5026143833514652,0.01041905976984597,0.0
S2_b150,0.0,4,19,97.92542884248,0.5779437011353681,0.8499704949705924,0.007176135319454485,0.0
S2_b210,0.0,4,19,101.09606120760327,0.610432323024184,0.2793441863222782,0.015014385992710858,0.0
S2_b255,0.0,4,19,115.06834840709686,0.7619218330045937,0.3880147316728704,0.006255112832283001,0.0
S2_b30_1,0.0,4,18,104.30384454053659,0.6220836113251168,0.5220854528653842,0.01052815462448701,0.0
S2_b90,0.0,4,19,96.14190843060517,0.559240868160246,0.7347968171086574,0.009787959941704108,0.0
S3_load_t1,0.0,4,19,106.34085070158262,0.6231181124304809,0.49524644796489325,0.011275216723492567,0.0
S3_load_t2,0.0,4,19,68.49959653495205,0.369938777814211,0.4990324695756365,0.021794339221747238,0.0
S3_load_t4,0.0,4,19,125.32133541601868,0.8263323822520517,0.4877133327666375,0.0035573490397528334,0.0
S3_load_t6,0.0,4,19,111.45186732631065,0.6780190011131535,0.5099703437653292,0.009237056572814062,0.0
S3_load_t8,0.0,4,19,124.36091282941159,0.809690257133635,0.40855997756141194,0.0,0.0
S4,0.0,4,18,112.32390898964587,0.7326618511493739,0.2958638121841976,0.009355846849817828,0.0
S4-1,0.0,4,18,103.58917727924468,0.6309196271552057,0.4663321703299679,0.010802793412628062,0.0
