scenario,gamma,p,n_train,train_rmse_pos_mW,beta_0,beta_1,beta_2,beta_3,beta_4
S1-HS-1,0.02,5,19,386.90358558832537,0.4170663888150202,1.2916709913547197,0.0,0.07272633079920475,0.0
S1-HS-2,0.02,5,19,602.760434233119,0.4111348802603223,1.63640158708604,0.0,0.11618270681653155,0.0
S2_b005,0.02,5,19,534.968452442378,0.15205544115041042,1.8533205583542132,0.0,0.11293689639534242,0.0
S2_b010,0.02,5,19,583.7720702195635,0.08045970107713112,2.022878585972863,0.0,0.12535337566937835,0.0
S2_b060,0.02,5,19,442.91063061536175,0.29353144409253795,1.4810777271703144,0.0,0.09019431972697926,0.0
S2_b150,0.02,5,19,289.9169267833988,0.3862160235461393,1.3991447890167577,0.0010246974672538695,0.0524796937904828,0.0
S2_b210,0.02,5,19,396.7205756193256,0.3177871770229307,1.1615337719218481,0.0050021174705006345,0.07925910736316186,0.0
S2_b255,0.02,5,19,299.3669216467883,0.5620697286800351,0.9458662998889145,0.000621402306844592,0.05009228620837424,0.0
S2_b30_1,0.02,5,18,474.5594759912744,0.2432642259744487,1.604359311050084,0.0,0.0982449806484742,0.0
S2_b90,0.02,5,19,321.8997279888816,0.33885952477755465,1.378926433038713,0.002400077298686185,0.061445150769163785,0.0
S3_load_t1,0.02,5,19,367.1094508503272,0.3640673838053948,1.2577294439364548,0.002695309382042999,0.0700248956537866,0.0
S3_load_t2,0.017,5,19,69.40615394171907,0.37891983643741073,0.47028578129130194,0.022110600378696905,0.0,0.0
S3_load_t4,0.02,5,19,940.7991571700924,0.16418361792185168,2.604587601580941,0.0,0.19592382378874,0.0
S3_load_t6,0.02,5,19,536.6381377589064,0.29124598553037645,1.692782369503905,0.0,0.10924004292485893,0.0
S3_load_t8,0.02,5,19,926.6063825793012,0.2713227908119786,2.367745906362201,0.0,0.19066252650274013,0.0
S4,0.02,5,18,468.4518315652372,0.3852550186179734,1.2939573726369364,0.0,0.09355143738417605,0.0
S4-1,0.02,5,18,432.54288912069325,0.3020193752171622,1.4237835852805327,0.00018526498425080256,0.08818187585048942,0.0
