scenario,gamma,p,n_train,train_rmse_pos_mW,beta_0,beta_1,beta_2
S1-HS-1,0.0,3,19,72.11458581234926,0.15429257614041286,0.7412233162626403,0.02656172825412768
S1-HS-2,0.0,3,19,71.84221803307591,0.15087401877403808,0.7745400945555655,0.026198221940144917
S2_b005,0.0,3,19,71.17567191806165,0.11509937594465212,0.8374953484662653,0.027190458211969342
S2_b010,0.0,3,19,69.98354471645538,0.10102536788236947,0.8644810181982644,0.027557571324774474
S2_b060,0.0,3,19,71.58180215578179,0.1688465336102563,0.7147867712429954,0.026160502638004124
S2_b150,0.0,3,19,67.74792892408767,0.13909722295661392,1.0832031376366598,0.02170465216296806
S2_b210,0.0,3,19,70.65432748279572,0.16561316462128797,0.43268727071015295,0.031072718915892642
S2_b255,0.0,3,19,70.7301240359149,0.18995651021506782,0.6761223411362354,0.025596919230016255
S2_b30_1,0.0,3,18,72.75592458783883,0.15624007489112335,0.7487513508199453,0.02631784518670894
S2_b90,0.0,3,19,69.21996641310042,0.14547875059380094,0.9666056552820651,0.023285564717700106
S3_load_t1,0.0,3,19,70.66481494791411,0.13061875896429664,0.7311004456265985,0.028000621098738687
S3_load_t2,0.0,3,19,50.576188502127444,0.08118344474793748,0.6312673961665202,0.031708448119513066
S3_load_t4,0.0,3,19,69.27355721569174,0.1732060269482853,0.7863603715210424,0.025761359735305137
S3_load_t6,0.0,3,19,72.18679200807472,0.15095410573300494,0.7545764853966749,0.026757233669188297
S3_load_t8,0.0,3,19,72.10181885689377,0.1649927137367612,0.736357118624079,0.02422263278665056
S4,0.0,3,18,72.82801534787018,0.20669308673178194,0.5422339477496171,0.02721678985158943
S4-1,0.0,3,18,73.2215295223933,0.18994748846807094,0.6497194638888111,0.026032857894766274
