scenario,gamma,p,n_train,train_rmse_pos_mW,beta_0,beta_1
S1-HS-1,0.003,2,19,180.91826354912672,0.00958385627068418,0.08401799334480588
S1-HS-2,0.004,2,19,180.83376203810553,0.02920555653317947,0.0
S2_b005,0.003,2,19,194.55617823832947,0.0,0.1849741525865104
S2_b010,0.003,2,19,200.98434950915492,0.0,0.20084247195111732
S2_b060,0.003,2,19,180.9918102293361,0.0,0.1293572688571065
S2_b150,0.004,2,19,180.92389795002595,0.006419248428116037,0.09710082539940823
S2_b210,0.003,2,19,182.49340882913498,0.02124898437067723,0.024722052882273672
S2_b255,0.003,2,19,181.6313711862034,0.0,0.140515921570051
S2_b30_1,0.003,2,18,187.11203011028834,0.0,0.14888337584483743
S2_b90,0.004,2,19,180.91417103376108,0.011750879278732187,0.07432561613745949
S3_load_t1,0.003,2,19,193.8600774461172,0.0,0.18083967321124952
S3_load_t2,0.003,2,19,174.6714589926341,0.0,0.10934001168580257
S3_load_t4,0.003,2,19,196.20889684947485,0.0,0.1875885692231757
S3_load_t6,0.003,2,19,192.9662439813542,0.0,0.19370290453868624
S3_load_t8,0.005,2,19,116.60392294185648,0.01274591289753601,0.03246882262797076
S4,0.003,2,18,189.91589740906196,0.039315349789662786,0.0
S4-1,0.003,2,18,185.48394238159878,0.03744012699566639,0.0
