scenario,gamma,p,n_train,train_rmse_pos_mW,beta_0,beta_1
S1-HS-1,0.004,2,19,181.08681289980328,0.0,0.13213147292997224
S1-HS-2,0.005,2,19,180.93207365380144,0.0,0.12578602792782687
S2_b005,0.005,2,19,189.79514504632323,0.039772979189968534,0.0
S2_b010,0.005,2,19,184.18757199688,0.032595517715530625,0.0
S2_b060,0.004,2,19,186.81607425183424,0.0,0.1710782262817369
S2_b150,0.006,2,19,180.85790205503693,0.02963526570835303,0.0
S2_b210,0.004,2,19,182.52543816414408,0.0070251976333353654,0.08509326452971551
S2_b255,0.004,2,19,180.93140439818876,0.0,0.12568431427105228
S2_b30_1,0.004,2,18,192.6907597591305,0.0,0.17754199670088236
S2_b90,0.006,2,19,180.83613519262903,0.027364082783778908,0.005995026797630142
S3_load_t1,0.005,2,19,187.62045127509123,0.03710302522313451,0.0
S3_load_t2,0.004,2,19,174.63593190498548,0.005941052943554304,0.08066686401210116
S3_load_t4,0.005,2,19,184.32561247115203,0.03282814815551548,0.0
S3_load_t6,0.005,2,19,174.15358084962145,0.03251982325271431,0.0
S3_load_t8,0.009000000000000001,2,19,116.53898737033688,0.017252193587976028,0.011725837746977856
S4,0.004,2,18,187.52371635750248,0.035673779488613444,0.0
S4-1,0.004,2,18,183.63634193435715,0.016579961246633457,0.06059699166751108
