battery_level0_pct,battery_voltage0_mV,thermal_cpu0_C,thermal_batt0_C,thermal_status0,battery_plugged0,display_state0,brightness0,scenario,run_name,run_csv,report_dir,has_perfetto,perfetto_power_mean_mW,perfetto_energy_mWh,perfetto_current_mean_uA,perfetto_voltage_mean_V,perfetto_discharge_mAh,perfetto_duration_s,qc_keep,qc_reject_reasons
98.0,4376.0,42.083,35.1,0.0,,OFF,90.0,S1-HS-1,20260131_230812_S1-HS-1,artifacts/runs/20260131_230812_S1-HS-1_enriched.csv,artifacts/reports/20260131_230812_S1-HS-1_enriched,1,1178.0345874504897,395.3959856334458,269663.9566395664,4.369228893058162,92.0,1209.103120981,1,
62.0,4011.0,40.175,33.1,0.0,,OFF,64.0,S1-HS-2,20260201_174510_S1-HS-2,artifacts/runs/20260201_174510_S1-HS-2_enriched.csv,artifacts/reports/20260201_174510_S1-HS-2_enriched,1,1081.6472243068583,360.6408857058173,268757.7652699604,4.024820929747759,86.0,1200.21601461,1,
95.0,4348.0,49.404,34.5,0.0,,ON,5.0,S2_b005,20260202_010635_S2_b005,artifacts/runs/20260202_010635_S2_b005_enriched.csv,artifacts/reports/20260202_010635_S2_b005_enriched,1,1973.6307394724663,295.96961635789694,455281.8139750116,4.335531235539103,68.0,539.784739725,1,
94.0,4333.0,42.372,34.7,0.0,,ON,10.0,S2_b010,20260202_011551_S2_b010,artifacts/runs/20260202_011551_S2_b010_enriched.csv,artifacts/reports/20260202_011551_S2_b010_enriched,1,1951.759773715872,292.73598439544776,451655.2521980564,4.321703378065711,69.0,539.887932032,1,
92.0,4314.0,41.86,34.7,0.0,,ON,60.0,S2_b060,20260202_012509_S2_b060,artifacts/runs/20260202_012509_S2_b060_enriched.csv,artifacts/reports/20260202_012509_S2_b060_enriched,1,1694.2692568255438,254.0869344364163,393014.3452105506,4.311219805645535,57.0,539.879708263,1,
54.0,3898.0,37.916,28.6,0.0,,ON,150.0,S2_b150,20260201_185149_S2_b150,artifacts/runs/20260201_185149_S2_b150_enriched.csv,artifacts/reports/20260201_185149_S2_b150_enriched,1,1712.106178621009,256.7425645713932,440197.5937066173,3.889747801943544,66.0,539.778276955,1,
51.0,3880.0,41.254,28.7,0.0,,ON,210.0,S2_b210,20260201_190712_S2_b210,artifacts/runs/20260201_190712_S2_b210_enriched.csv,artifacts/reports/20260201_190712_S2_b210_enriched,1,1915.8205742711707,287.2738897637286,495593.7066173068,3.866093937991671,75.0,539.890552955,1,
91.0,4310.0,47.072,34.2,0.0,,ON,255.0,S2_b255,20260202_013427_S2_b255,artifacts/runs/20260202_013427_S2_b255_enriched.csv,artifacts/reports/20260202_013427_S2_b255_enriched,1,2007.682696899584,301.0647939489359,467728.3664969921,4.292753354928274,67.0,539.767095186,1,
58.0,3962.0,35.322,28.6,0.0,,ON,30.0,S2_b30,20260201_182508_S2_b30,artifacts/runs/20260201_182508_S2_b30_enriched.csv,artifacts/reports/20260201_182508_S2_b30_enriched,1,1966.673639055992,294.9381777842081,499270.2452568255,3.93933641832485,74.0,539.815539109,1,
90.0,4282.0,45.777,34.4,0.0,,ON,30.0,S2_b30_1,20260202_014345_S2_b30_1,artifacts/runs/20260202_014345_S2_b30_1_enriched.csv,artifacts/reports/20260202_014345_S2_b30_1_enriched,1,1963.6862531235536,294.5110570666804,459067.5613142064,4.277884775566867,70.0,539.862911186,1,
88.0,4245.0,42.445,34.4,0.0,,ON,30.0,S2_b30_1,20260202_015305_S2_b30_1,artifacts/runs/20260202_015305_S2_b30_1_enriched.csv,artifacts/reports/20260202_015305_S2_b30_1_enriched,1,1796.1073081906525,269.3898757109246,421146.2285978714,4.265329477093938,66.0,539.96467234,1,
56.0,3926.0,36.029,28.9,0.0,,ON,90.0,S2_b90,20260201_183735_S2_b90,artifacts/runs/20260201_183735_S2_b90_enriched.csv,artifacts/reports/20260201_183735_S2_b90_enriched,1,1618.7122091624246,242.77747906606524,413681.16612679313,3.913407218880149,58.0,539.943694802,1,
77.0,4158.0,42.463,33.8,0.0,,ON,55.0,S3_load_t1,20260202_214935_S3_load_t1,artifacts/runs/20260202_214935_S3_load_t1_enriched.csv,artifacts/reports/20260202_214935_S3_load_t1_enriched,1,1921.9240240629335,288.2288413829403,464359.5557612217,4.139426191577972,70.0,539.851342724,1,
75.0,4136.0,43.149,33.6,0.0,,ON,55.0,S3_load_t2,20260202_215851_S3_load_t2,artifacts/runs/20260202_215851_S3_load_t2_enriched.csv,artifacts/reports/20260202_215851_S3_load_t2_enriched,1,2188.2866001851,328.182618969801,531554.3729754743,4.117780194354466,80.0,539.810199109,1,
74.0,4116.0,49.719,34.0,0.0,,ON,55.0,S3_load_t4,20260202_220816_S3_load_t4,artifacts/runs/20260202_220816_S3_load_t4_enriched.csv,artifacts/reports/20260202_220816_S3_load_t4_enriched,1,2546.296188338732,381.8916605583827,622326.7006015733,4.092366496992134,88.0,539.816578263,1,
72.0,4087.0,50.803,34.9,0.0,,ON,55.0,S3_load_t6,20260202_221733_S3_load_t6,artifacts/runs/20260202_221733_S3_load_t6_enriched.csv,artifacts/reports/20260202_221733_S3_load_t6_enriched,1,2995.64316705229,449.3676613059209,737308.6534012031,4.063363257751041,112.0,539.920857955,1,
69.0,4046.0,57.426,36.3,0.0,,ON,55.0,S3_load_t8,20260202_222646_S3_load_t8,artifacts/runs/20260202_222646_S3_load_t8_enriched.csv,artifacts/reports/20260202_222646_S3_load_t8_enriched,1,3550.946826931976,532.6524185538049,881304.0259139288,4.029590467376215,135.0,539.974944032,1,
100.0,4389.0,49.132,35.1,0.0,,ON,55.0,S4,20260202_002928_S4,artifacts/runs/20260202_002928_S4_enriched.csv,artifacts/reports/20260202_002928_S4_enriched,1,2206.054819065248,330.75031695256035,503161.4993058769,4.384720962517353,73.0,539.773307802,1,
99.0,4377.0,46.745,35.7,0.0,,ON,55.0,S4,20260202_003841_S4,artifacts/runs/20260202_003841_S4_enriched.csv,artifacts/reports/20260202_003841_S4_enriched,1,1703.120128644146,255.41800139596867,389043.9611291069,4.377992133271634,56.0,539.894412417,1,
