scenario,n,mae_mW,rmse_mW,bias_mW
S3_load_t8,1,717.7381573774355,717.7381573774355,717.7381573774355
S1-HS-1,1,670.2177728217612,670.2177728217612,-670.2177728217612
S1-HS-2,1,441.3213924232682,441.3213924232682,-441.3213924232682
S3_load_t6,1,400.7640610639596,400.7640610639596,400.7640610639596
S3_load_t2,1,351.451663248921,351.451663248921,351.451663248921
S2_b060,1,184.26811746146745,184.26811746146745,-184.26811746146745
S2_b210,1,177.3533370250068,177.3533370250068,177.3533370250068
S3_load_t4,1,152.83936921947725,152.83936921947725,152.83936921947725
S3_load_t1,1,152.0969604484519,152.0969604484519,152.0969604484519
S2_b010,1,127.31313536229527,127.31313536229527,127.31313536229527
S2_b005,1,105.15725920162708,105.15725920162708,105.15725920162708
S2_b90,1,79.6353269895119,79.6353269895119,-79.6353269895119
S2_b30_1,2,73.59742013467041,76.3510079522159,20.319846575211727
S4,2,40.66437972221695,40.77424451815146,40.66437972221695
S2_b150,1,33.90654642567188,33.90654642567188,-33.90654642567188
S2_b255,1,32.63733073500157,32.63733073500157,-32.63733073500157
S4-1,2,14.701934944826576,16.889457398949272,-8.313054800072564
