scenario,n,mae_mW,rmse_mW,bias_mW
S1-HS-2,1,636.6429343291651,636.6429343291651,-636.6429343291651
S1-HS-1,1,575.9893988499446,575.9893988499446,-575.9893988499446
S3_load_t2,1,378.1719197508078,378.1719197508078,378.1719197508078
S2_b010,1,293.5224636456725,293.5224636456725,293.5224636456725
S4-1,2,217.0232716492669,217.07371723269617,217.0232716492669
S3_load_t1,1,211.44594503803066,211.44594503803066,211.44594503803066
S3_load_t4,1,179.7562188296106,179.7562188296106,-179.7562188296106
S3_load_t8,1,172.0424425388586,172.0424425388586,172.0424425388586
S2_b255,1,145.4102990885985,145.4102990885985,-145.4102990885985
S2_b005,1,94.30016095762429,94.30016095762429,-94.30016095762429
S4,2,61.42445515882117,86.06096342456826,-61.42445515882117
S3_load_t6,1,58.94955663596619,58.94955663596619,58.94955663596619
S2_b210,1,55.04376733180116,55.04376733180116,55.04376733180116
S2_b90,1,46.10323434070524,46.10323434070524,46.10323434070524
S2_b150,1,41.25669758281866,41.25669758281866,-41.25669758281866
S2_b30_1,2,38.57588623263726,39.9133027785684,38.57588623263726
S2_b060,1,38.62397685672897,38.62397685672897,-38.62397685672897
