split,run_name,scenario,n_samples,p_meas_mean_mW,p_pred_mean_mW,p_rel_err_pct,rmse_soc_pct,qc_keep,battery_level0_pct,battery_voltage0_mV,thermal_cpu0_C,thermal_batt0_C,resid_mW,voltage_V,resid_hat_mW,resid_corr_mW
LOSO:S1-HS-1,20260131_230812_S1-HS-1,S1-HS-1,319,1217.780708736924,1896.4188278173192,55.72744864584652,0.9324180949501716,1,98.0,4376.0,42.083,35.1,-678.6381190803952,4.376,-105.84785454032414,-572.7902645400711
LOSO:S1-HS-2,20260201_174510_S1-HS-2,S1-HS-2,339,1103.2962390833045,1560.6184119575994,41.45053310924635,0.6730244784634329,1,62.0,4011.0,40.175,33.1,-457.3221728742949,4.011,194.86625009974517,-652.1884229740401
LOSO:S2_b005,20260202_010635_S2_b005,S2_b005,150,1925.21624,1824.22129467758,-5.2459013810531685,0.4138743304460328,1,95.0,4348.0,49.404,34.5,100.99494532241988,4.348,204.66087167460404,-103.66592635218416
LOSO:S2_b010,20260202_011551_S2_b010,S2_b010,147,1925.7268299319728,1803.192346455987,-6.363025200220851,0.2910341693954477,1,94.0,4333.0,42.372,34.7,122.53448347598578,4.333,-176.25789005137943,298.7923735273652
LOSO:S2_b060,20260202_012509_S2_b060,S2_b060,147,1652.4545646258505,1839.47671944946,11.317839463014522,0.5810082031654056,1,92.0,4314.0,41.86,34.7,-187.02215482360953,4.314,-156.77796211762703,-30.2441927059825
LOSO:S2_b150,20260201_185149_S2_b150,S2_b150,151,1673.8015393122892,1708.2186222698124,2.056222446280226,0.3713932702010168,1,54.0,3898.0,37.916,28.6,-34.417082957523235,3.898,3.9052450462938606,-38.3223280038171
LOSO:S2_b210,20260201_190712_S2_b210,S2_b210,151,1883.196119750428,1702.470783497532,-9.596734740343818,0.3478178303195386,1,51.0,3880.0,41.254,28.7,180.7253362528959,3.88,125.45367031695817,55.27166593593772
LOSO:S2_b255,20260202_013427_S2_b255,S2_b255,147,1938.2774421768704,1960.2932719283413,1.1358451206420157,0.3501732602920039,1,91.0,4310.0,47.072,34.2,-22.015829751470847,4.31,110.50870945343598,-132.52453920490683
LOSO:S2_b30_1,20260202_014345_S2_b30_1,S2_b30_1,148,1894.3651689189187,1805.265145785028,-4.703423848567636,0.4733518957374874,1,90.0,4282.0,45.777,34.4,89.10002313389077,4.282,42.77800146665634,46.32202166723443
LOSO:S2_b30_1,20260202_015305_S2_b30_1,S2_b30_1,158,1735.795898734178,1792.689956502379,3.277692832993257,0.3340853531526969,1,88.0,4245.0,42.445,34.4,-56.89405776820081,4.245,-89.34285780682063,32.44880003861982
LOSO:S2_b90,20260201_183735_S2_b90,S2_b90,151,1603.388382419604,1685.85568496638,5.143314212014441,0.3672173363402147,1,56.0,3926.0,36.029,28.9,-82.46730254677595,3.926,-134.06357393393878,51.59627138716283
LOSO:S3_load_t1,20260202_214935_S3_load_t1,S3_load_t1,149,1980.9037444119183,1837.7456936010672,-7.226905962225412,0.3973738723250334,1,77.0,4158.0,42.463,33.8,143.15805081085114,4.158,-64.58261919957188,207.740670010423
LOSO:S3_load_t2,20260202_215851_S3_load_t2,S3_load_t2,143,2276.1716968400638,1932.022530247868,-15.119648797582666,0.3834129415060441,1,75.0,4136.0,43.149,33.6,344.1491665921958,4.136,-30.208875851809488,374.35804244400526
LOSO:S3_load_t4,20260202_220816_S3_load_t4,S3_load_t4,152,2475.564933818211,2320.946225126394,-6.245794912490519,0.5480946309568102,1,74.0,4116.0,49.719,34.0,154.61870869181712,4.116,340.9769681374273,-186.3582594456102
LOSO:S3_load_t6,20260202_221733_S3_load_t6,S3_load_t6,154,3031.8670064935063,2627.5649486806337,-13.33508550826794,0.6167256025040465,1,72.0,4087.0,50.803,34.9,404.3020578128726,4.087,351.83919424176935,52.46286357110324
LOSO:S3_load_t8,20260202_222646_S3_load_t8,S3_load_t8,154,3553.9323498749723,2805.215510700519,-21.067278874928306,0.285806818901894,1,69.0,4046.0,57.426,36.3,748.7168391744531,4.046,549.1032371819808,199.61360199247224
LOSO:S4,20260202_002928_S4,S4,152,2260.4441568109137,2223.454975425205,-1.6363678471886522,0.4723820784281333,1,100.0,4389.0,49.132,35.1,36.98918138570889,4.389,169.80356946363872,-132.81438807792983
LOSO:S4,20260202_003841_S4,S4,152,1769.5886184210524,1740.014129187089,-1.6712635313145068,0.3687997978224979,1,99.0,4377.0,46.745,35.7,29.574489233963277,4.377,37.19748551280137,-7.6229962788380945
LOSO:S4-1,20260202_004753_S4-1,S4-1,152,1788.08894574416,1791.63954602848,0.1985695562164679,0.269077762153218,1,98.0,4377.0,42.568,34.9,-3.550600284320126,4.377,-216.194361811123,212.64376152680288
LOSO:S4-1,20260202_005707_S4-1,S4-1,152,1751.253697368421,1784.8555559207423,1.9187316265378505,0.3987741135630423,1,97.0,4360.0,41.396,34.6,-33.601858552321346,4.36,-256.258933891356,222.65707533903463
