metric,value
battery_realtime_ms,543200
battery_uptime_ms,543200
screen_off_realtime_ms,
screen_off_uptime_ms,
screen_doze_duration_ms,
total_mah,38
total_mah_screen_off,
total_mah_screen_doze,
total_mah_light_doze,
total_mah_deep_doze,
screen_on_duration_ms,543200
interactive_duration_ms,543200
delta_battery_realtime_ms,542841
delta_battery_uptime_ms,542841
delta_screen_off_realtime_ms,
delta_screen_off_uptime_ms,
delta_screen_doze_duration_ms,
delta_total_mah,38
delta_total_mah_screen_off,
delta_total_mah_screen_doze,
delta_total_mah_light_doze,
delta_total_mah_deep_doze,
delta_screen_on_duration_ms,542841
delta_interactive_duration_ms,542841
derived_avg_current_mA,252.00749390705565
derived_avg_current_per_screen_on_hour_mA,252.00749390705565
derived_duration_s,542.841
derived_screen_on_duration_s,542.841
