label,brightness,t_s,d_charge_uAh,d_charge_uAh_abs,is_discharge_step
S2_b90,90.0,25.0,14000.0,14000.0,False
S2_b90,90.0,82.0,32000.0,32000.0,False
S2_b90,90.0,145.0,31000.0,31000.0,False
S2_b90,90.0,170.0,16000.0,16000.0,False
S2_b90,90.0,205.0,17000.0,17000.0,False
S2_b90,90.0,259.0,30000.0,30000.0,False
S2_b90,90.0,266.0,3000.0,3000.0,False
S2_b90,90.0,326.0,33000.0,33000.0,False
S2_b90,90.0,350.0,14000.0,14000.0,False
S2_b90,90.0,386.0,16000.0,16000.0,False
S2_b90,90.0,389.0,6000.0,6000.0,False
S2_b90,90.0,438.0,25000.0,25000.0,False
S2_b90,90.0,445.0,2000.0,2000.0,False
S2_b90,90.0,506.0,33000.0,33000.0,False
S2_b90,90.0,523.0,11000.0,11000.0,False
