ts,t_s,batt.capacity_pct,batt.charge_uah,batt.current_ua,batt.power_mw,batt.voltage_uv,power_mw_calc
7416575136183870,0.0,34.0,1621000.0,-1743000.0,6.0,3912.0,-6818.616
7416575145844408,0.009660538,34.0,1621000.0,-1743000.0,6.0,3912.0,-6818.616
7416575388414331,0.252230461,34.0,1621000.0,-1743000.0,6.0,3912.0,-6818.616
7416575637911485,0.501727615,34.0,1621000.0,-2092000.0,8.0,3922.0,-8204.824
7416575887758639,0.751574769,34.0,1621000.0,-2092000.0,8.0,3922.0,-8204.824
7416576138670024,1.002486154,34.0,1621000.0,-2092000.0,8.0,3922.0,-8204.824
7416576387935793,1.251751923,34.0,1623000.0,-2092000.0,8.0,3922.0,-8204.824
7416576637694870,1.501511,34.0,1623000.0,-2053000.0,8.0,3923.0,-8053.919000000001
7416576888249101,1.752065231,34.0,1623000.0,-2053000.0,8.0,3923.0,-8053.919000000001
7416577138284178,2.002100308,34.0,1623000.0,-2053000.0,8.0,3923.0,-8053.919000000001
7416577388041332,2.251857462,34.0,1623000.0,-2053000.0,8.0,3923.0,-8053.919000000001
7416577638426024,2.502242154,34.0,1623000.0,-2034000.0,7.0,3924.0,-7981.415999999999
7416577887778639,2.751594769,34.0,1623000.0,-2034000.0,7.0,3924.0,-7981.415999999999
7416578137607485,3.001423615,34.0,1623000.0,-2034000.0,7.0,3924.0,-7981.415999999999
7416578387602024,3.251418154,34.0,1623000.0,-2034000.0,7.0,3924.0,-7981.415999999999
7416578638499793,3.502315923,34.0,1623000.0,-1983000.0,7.0,3920.0,-7773.36
7416578887967793,3.751783923,34.0,1623000.0,-1983000.0,7.0,3920.0,-7773.36
7416579137640409,4.001456539,34.0,1623000.0,-1983000.0,7.0,3920.0,-7773.36
7416579387998024,4.251814154,34.0,1623000.0,-1983000.0,7.0,3920.0,-7773.36
7416579637994639,4.501810769,34.0,1623000.0,-1898000.0,7.0,3918.0,-7436.3640000000005
7416579887775178,4.751591308,34.0,1623000.0,-1898000.0,7.0,3918.0,-7436.3640000000005
7416580137299178,5.001115308,34.0,1623000.0,-1898000.0,7.0,3918.0,-7436.3640000000005
7416580388143486,5.251959616,34.0,1623000.0,-1898000.0,7.0,3918.0,-7436.3640000000005
7416580637964486,5.501780616,34.0,1623000.0,-1898000.0,7.0,3918.0,-7436.3640000000005
7416580888430024,5.752246154,34.0,1623000.0,-1898000.0,7.0,3918.0,-7436.3640000000005
7416581137614255,6.001430385,34.0,1623000.0,-1898000.0,7.0,3918.0,-7436.3640000000005
