run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt,cpu_policy0_energy_mJ,cpu_policy0_energy_mJ_matched,cpu_policy0_energy_mJ_unmatched,cpu_policy0_avg_power_mW,cpu_policy0_unmatched_dt_ms,cpu_policy4_energy_mJ,cpu_policy4_energy_mJ_matched,cpu_policy4_energy_mJ_unmatched,cpu_policy4_avg_power_mW,cpu_policy4_unmatched_dt_ms,cpu_policy7_energy_mJ,cpu_policy7_energy_mJ_matched,cpu_policy7_energy_mJ_unmatched,cpu_policy7_avg_power_mW,cpu_policy7_unmatched_dt_ms,cpu_energy_mJ_total,battery_discharge_energy_mJ,dt_s
20260131_011022,0,2026-01-31T01:10:23+08:00,S1_HS,,81,100,4138,325,3896000,48,0,,0,32.5,38.415,38.415,38.825,35.014,35.433,38.825,38.825,0,0,1,1,1,1,1,0,0,0,9,0,0,96,4,1,2,3,2,0,0,0,0,1,1,4,8,6,1,1,1,4,1,1,1,0,4,0,0,0,0,0,83,0,2,0,2,1,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.144,22.144,0.000,184.530,0,48.862,48.862,0.000,394.048,0,93.175,93.175,0.000,770.040,0,164.180,,
20260131_011022,1,2026-01-31T01:10:26+08:00,S1_HS,,81,100,4138,325,3896000,48,0,,0,32.5,37.741,37.741,37.741,34.974,35.158,37.741,37.741,0,3,1,2,1,0,0,0,1,1,16,0,0,279,9,2,6,1,1,4,0,3,8,0,1,1,9,0,1,6,0,2,2,1,0,2,10,0,0,0,0,0,235,5,6,5,10,1,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.607,56.607,0.000,175.798,0,97.267,97.267,0.000,310.756,0,244.873,244.873,0.000,770.040,0,398.746,-0.000,3.000
20260131_011022,2,2026-01-31T01:10:29+08:00,S1_HS,,81,100,4138,325,3896000,48,0,,0,32.6,38.134,38.134,38.134,34.907,35.014,38.134,38.134,0,1,0,1,0,0,2,2,0,0,38,0,0,260,8,3,4,2,3,1,1,0,1,3,1,4,2,1,1,2,2,6,1,1,2,1,22,0,0,0,0,0,251,2,1,1,10,3,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,61.704,61.704,0.000,192.225,0,113.587,113.587,0.000,351.663,0,253.886,253.886,0.000,790.921,0,429.177,-0.000,3.000
20260131_011022,3,2026-01-31T01:10:33+08:00,S1_HS,,81,100,4138,325,3896000,48,0,,0,32.5,38.465,38.465,38.444,34.828,34.919,38.444,38.444,1,1,2,10,0,0,3,0,0,0,31,0,0,269,7,2,0,0,1,2,4,3,4,1,0,3,4,0,0,2,3,1,3,2,1,2,22,0,0,0,0,0,247,3,3,4,10,1,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,61.452,61.452,0.000,188.503,0,114.210,114.210,0.000,350.336,0,312.974,312.974,0.000,945.542,0,488.636,-0.000,4.000
20260131_011022,4,2026-01-31T01:10:36+08:00,S1_HS,,81,100,4138,325,3896000,48,0,,0,32.5,38.06,38.06,38.06,34.767,34.817,37.945,38.06,0,1,1,0,1,0,2,0,1,0,19,0,0,281,9,2,3,2,2,2,0,0,1,0,0,1,4,5,1,4,8,2,0,1,2,0,10,0,0,0,0,0,265,3,5,8,5,5,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.074,57.074,0.000,177.249,0,101.025,101.025,0.000,302.471,0,251.033,251.033,0.000,770.040,0,409.133,-0.000,3.000
20260131_011022,5,2026-01-31T01:10:39+08:00,S1_HS,,81,100,4138,325,3896000,48,0,,0,32.5,37.47,37.47,37.264,34.705,34.728,37.212,37.212,2,0,0,1,0,1,0,0,1,0,41,0,0,261,6,8,4,0,1,0,1,0,1,3,1,1,3,1,0,3,2,4,1,5,1,0,16,0,0,0,0,0,249,7,1,10,2,1,0,0,0,0,0,0,0,0,307,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,62.782,62.782,0.000,193.176,0,102.615,102.615,0.000,326.800,0,252.450,252.450,0.000,798.893,0,417.847,-0.000,3.000
20260131_011022,6,2026-01-31T01:10:42+08:00,S1_HS,,81,100,4138,325,3896000,48,0,,0,32.5,37.458,37.458,37.458,34.637,34.664,37.458,37.458,2,1,2,3,0,1,4,0,0,1,22,0,0,266,5,3,5,1,10,2,3,0,5,2,5,3,8,6,1,1,4,2,1,2,1,1,22,0,0,0,0,0,214,7,2,8,6,1,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.658,57.658,0.000,182.462,0,118.987,118.987,0.000,375.353,0,244.873,244.873,0.000,770.040,0,421.518,-0.000,3.000
20260131_011022,7,2026-01-31T01:10:45+08:00,S1_HS,,81,100,4138,325,3896000,48,0,,0,32.5,37.657,37.197,37.197,34.581,34.602,37.197,37.197,0,0,1,1,0,0,1,1,0,0,20,0,0,264,12,3,2,12,0,1,14,1,0,1,1,7,10,4,3,7,2,5,2,1,1,1,25,0,0,0,0,0,215,1,0,8,2,3,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.654,56.654,0.000,178.720,0,128.060,128.060,0.000,406.539,0,244.103,244.103,0.000,770.040,0,428.817,-0.000,3.000
20260131_011022,8,2026-01-31T01:10:49+08:00,S1_HS,,81,100,4138,325,3896000,48,0,,0,32.5,42.213,42.213,42.213,34.534,34.64,42.213,42.213,1,5,1,1,7,0,0,0,0,0,179,0,0,104,4,3,3,8,4,1,5,4,1,0,0,1,7,3,3,3,2,6,7,0,1,1,26,0,0,0,0,0,224,3,1,7,7,2,0,0,0,0,0,0,0,0,285,0,1,0,0,0,0,1,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,96.433,96.433,0.000,305.166,0,126.399,126.399,0.000,396.236,0,274.149,274.149,0.000,870.315,0,496.981,-0.000,4.000
20260131_011022,9,2026-01-31T01:10:52+08:00,S1_HS,,81,100,4138,325,3896000,48,0,,0,32.5,37.555,37.269,37.269,34.496,34.608,37.323,37.323,0,5,1,0,0,2,2,0,2,2,30,0,0,254,4,5,7,4,1,0,10,0,0,0,0,2,5,7,1,5,19,0,0,1,0,2,26,0,0,0,0,0,205,4,8,16,0,3,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.375,60.375,0.000,189.858,0,129.101,129.101,0.000,409.845,0,244.873,244.873,0.000,770.040,0,434.349,-0.000,3.000
