run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt
20260131_013403,0,2026-01-31T01:34:03+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.8,47.5,47.5,47.5,34.021,35.787,45.082,45.082,2,3,1,1,1,1,1,0,2,0,13,0,0,74,11,4,4,2,7,1,3,1,3,4,4,3,6,1,2,3,2,2,2,1,3,0,17,0,0,0,0,0,37,7,2,1,2,7,0,0,0,0,0,0,0,0,103,4,0,2,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20260131_013403,1,2026-01-31T01:34:07+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.8,38.863,38.863,38.717,33.972,34.966,38.717,38.717,1,2,2,3,1,2,0,2,1,1,31,0,0,235,17,13,6,4,4,9,14,4,3,4,3,4,6,5,4,4,2,3,5,3,3,9,12,0,0,0,0,0,191,4,2,9,8,7,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_013403,2,2026-01-31T01:34:10+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.8,37.829,37.829,37.829,33.811,34.41,37.829,37.829,1,3,4,1,1,1,2,0,2,2,27,0,0,254,14,7,6,2,9,17,7,5,11,11,4,10,7,5,4,3,4,1,0,2,6,3,7,0,0,0,0,0,173,6,11,2,11,5,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_013403,3,2026-01-31T01:34:13+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.8,37.366,37.366,37.135,33.696,34.126,37.135,37.135,2,8,2,4,0,1,1,2,1,1,39,0,0,219,18,10,8,2,9,11,4,6,9,6,7,11,6,7,6,5,4,3,2,4,1,2,10,0,0,0,0,0,183,3,8,2,6,4,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20260131_013403,4,2026-01-31T01:34:16+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.9,41.094,41.094,41.094,33.611,33.919,41.094,41.094,4,8,1,3,4,1,3,1,1,1,34,0,0,253,8,10,4,4,5,14,5,4,7,8,3,10,19,8,3,4,1,2,3,2,0,1,15,0,0,0,0,0,207,1,3,3,7,5,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
20260131_013403,5,2026-01-31T01:34:20+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.9,37.441,37.441,37.671,33.571,33.811,37.671,37.671,1,3,4,2,0,3,1,3,1,0,21,0,0,253,14,6,5,5,5,3,1,12,5,8,5,2,8,3,3,2,7,6,11,1,2,2,11,0,0,0,0,0,203,8,1,8,4,3,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20260131_013403,6,2026-01-31T01:34:23+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.9,36.983,36.983,36.983,33.52,33.704,36.983,36.983,9,4,3,2,2,1,2,2,1,0,23,0,0,250,7,8,4,2,3,6,4,4,3,10,6,5,10,10,2,8,5,5,2,2,0,2,12,0,0,0,0,0,202,1,2,2,1,10,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_013403,7,2026-01-31T01:34:26+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.9,38.833,38.204,38.23,33.442,33.608,40.193,40.193,0,2,2,2,2,1,0,1,0,0,33,0,0,257,9,7,6,2,3,4,5,3,4,7,14,8,7,5,6,5,1,3,4,3,1,1,13,0,0,0,0,0,212,1,1,3,2,8,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
20260131_013403,8,2026-01-31T01:34:29+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.9,36.308,36.308,36.072,33.368,33.554,36.072,36.072,7,2,1,0,5,8,3,1,0,0,14,0,0,262,6,6,0,2,1,0,0,4,1,0,6,11,8,5,1,3,9,3,2,5,1,1,13,0,0,0,0,0,240,12,1,1,0,2,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_013403,9,2026-01-31T01:34:33+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.9,36.299,36.284,36.284,33.316,33.539,36.284,36.284,1,4,5,1,0,1,1,1,0,1,27,0,0,284,5,5,1,3,7,4,6,2,3,5,11,9,12,9,4,2,3,5,2,1,0,1,13,0,0,0,0,0,200,5,3,7,5,7,0,0,0,0,0,0,0,0,319,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
