run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt,cpu_policy0_energy_mJ,cpu_policy0_energy_mJ_matched,cpu_policy0_energy_mJ_unmatched,cpu_policy0_avg_power_mW,cpu_policy0_unmatched_dt_ms,cpu_policy4_energy_mJ,cpu_policy4_energy_mJ_matched,cpu_policy4_energy_mJ_unmatched,cpu_policy4_avg_power_mW,cpu_policy4_unmatched_dt_ms,cpu_policy7_energy_mJ,cpu_policy7_energy_mJ_matched,cpu_policy7_energy_mJ_unmatched,cpu_policy7_avg_power_mW,cpu_policy7_unmatched_dt_ms,cpu_energy_mJ_total,battery_discharge_energy_mJ,dt_s
20260131_013403,0,2026-01-31T01:34:03+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.8,47.5,47.5,47.5,34.021,35.787,45.082,45.082,2,3,1,1,1,1,1,0,2,0,13,0,0,74,11,4,4,2,7,1,3,1,3,4,4,3,6,1,2,3,2,2,2,1,3,0,17,0,0,0,0,0,37,7,2,1,2,7,0,0,0,0,0,0,0,0,103,4,0,2,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,23.959,23.959,0.000,199.658,0,70.793,70.793,0.000,585.068,0,104.922,104.922,0.000,860.014,0,199.674,,
20260131_013403,1,2026-01-31T01:34:07+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.8,38.863,38.863,38.717,33.972,34.966,38.717,38.717,1,2,2,3,1,2,0,2,1,1,31,0,0,235,17,13,6,4,4,9,14,4,3,4,3,4,6,5,4,4,2,3,5,3,3,9,12,0,0,0,0,0,191,4,2,9,8,7,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.301,61.301,0.000,190.970,0,129.115,129.115,0.000,400.978,0,247.833,247.833,0.000,769.668,0,438.249,-0.000,4.000
20260131_013403,2,2026-01-31T01:34:10+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.8,37.829,37.829,37.829,33.811,34.41,37.829,37.829,1,3,4,1,1,1,2,0,2,2,27,0,0,254,14,7,6,2,9,17,7,5,11,11,4,10,7,5,4,3,4,1,0,2,6,3,7,0,0,0,0,0,173,6,11,2,11,5,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.339,61.339,0.000,187.581,0,121.559,121.559,0.000,375.183,0,249.373,249.373,0.000,769.668,0,432.271,-0.000,3.000
20260131_013403,3,2026-01-31T01:34:13+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.8,37.366,37.366,37.135,33.696,34.126,37.135,37.135,2,8,2,4,0,1,1,2,1,1,39,0,0,219,18,10,8,2,9,11,4,6,9,6,7,11,6,7,6,5,4,3,2,4,1,2,10,0,0,0,0,0,183,3,8,2,6,4,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,63.176,63.176,0.000,198.666,0,124.021,124.021,0.000,388.782,0,262.381,262.381,0.000,776.275,0,449.578,-0.000,3.000
20260131_013403,4,2026-01-31T01:34:16+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.9,41.094,41.094,41.094,33.611,33.919,41.094,41.094,4,8,1,3,4,1,3,1,1,1,34,0,0,253,8,10,4,4,5,14,5,4,7,8,3,10,19,8,3,4,1,2,3,2,0,1,15,0,0,0,0,0,207,1,3,3,7,5,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,65.782,65.782,0.000,193.476,0,130.766,130.766,0.000,384.606,0,249.644,249.644,0.000,780.136,0,446.192,-0.000,3.000
20260131_013403,5,2026-01-31T01:34:20+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.9,37.441,37.441,37.671,33.571,33.811,37.671,37.671,1,3,4,2,0,3,1,3,1,0,21,0,0,253,14,6,5,5,5,3,1,12,5,8,5,2,8,3,3,2,7,6,11,1,2,2,11,0,0,0,0,0,203,8,1,8,4,3,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59.096,59.096,0.000,183.528,0,126.317,126.317,0.000,389.868,0,248.950,248.950,0.000,773.136,0,434.363,-0.000,4.000
20260131_013403,6,2026-01-31T01:34:23+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.9,36.983,36.983,36.983,33.52,33.704,36.983,36.983,9,4,3,2,2,1,2,2,1,0,23,0,0,250,7,8,4,2,3,6,4,4,3,10,6,5,10,10,2,8,5,5,2,2,0,2,12,0,0,0,0,0,202,1,2,2,1,10,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.390,59.390,0.000,185.592,0,123.367,123.367,0.000,389.169,0,247.064,247.064,0.000,769.668,0,429.820,-0.000,3.000
20260131_013403,7,2026-01-31T01:34:26+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.9,38.833,38.204,38.23,33.442,33.608,40.193,40.193,0,2,2,2,2,1,0,1,0,0,33,0,0,257,9,7,6,2,3,4,5,3,4,7,14,8,7,5,6,5,1,3,4,3,1,1,13,0,0,0,0,0,212,1,1,3,2,8,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,61.236,61.236,0.000,189.000,0,123.514,123.514,0.000,381.215,0,255.649,255.649,0.000,793.942,0,440.399,-0.000,3.000
20260131_013403,8,2026-01-31T01:34:29+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.9,36.308,36.308,36.072,33.368,33.554,36.072,36.072,7,2,1,0,5,8,3,1,0,0,14,0,0,262,6,6,0,2,1,0,0,4,1,0,6,11,8,5,1,3,9,3,2,5,1,1,13,0,0,0,0,0,240,12,1,1,0,2,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.964,56.964,0.000,179.697,0,119.775,119.775,0.000,362.955,0,253.221,253.221,0.000,769.668,0,429.960,-0.000,3.000
20260131_013403,9,2026-01-31T01:34:33+08:00,S1_HS_1,,79,100,4136,308,3796000,48,0,,0,30.9,36.299,36.284,36.284,33.316,33.539,36.284,36.284,1,4,5,1,0,1,1,1,0,1,27,0,0,284,5,5,1,3,7,4,6,2,3,5,11,9,12,9,4,2,3,5,2,1,0,1,13,0,0,0,0,0,200,5,3,7,5,7,0,0,0,0,0,0,0,0,319,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,62.617,62.617,0.000,184.169,0,122.742,122.742,0.000,376.510,0,263.424,263.424,0.000,800.682,0,448.784,-0.000,4.000
