run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt,cpu_policy0_energy_mJ,cpu_policy0_energy_mJ_matched,cpu_policy0_energy_mJ_unmatched,cpu_policy0_avg_power_mW,cpu_policy0_unmatched_dt_ms,cpu_policy4_energy_mJ,cpu_policy4_energy_mJ_matched,cpu_policy4_energy_mJ_unmatched,cpu_policy4_avg_power_mW,cpu_policy4_unmatched_dt_ms,cpu_policy7_energy_mJ,cpu_policy7_energy_mJ_matched,cpu_policy7_energy_mJ_unmatched,cpu_policy7_avg_power_mW,cpu_policy7_unmatched_dt_ms,cpu_energy_mJ_total,battery_discharge_energy_mJ,dt_s
20260131_022902,0,2026-01-31T02:29:03+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.8,41.348,41.348,41.348,34.688,35.736,41.348,41.348,5,5,4,5,0,2,0,1,1,2,22,0,0,30,26,8,6,5,3,2,3,1,3,2,4,3,0,2,1,2,0,2,3,2,1,1,7,0,0,0,0,0,24,10,19,15,11,3,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27.912,27.912,0.000,228.786,0,53.829,53.829,0.000,434.102,0,99.253,99.253,0.000,800.428,0,180.994,,
20260131_022902,1,2026-01-31T02:29:06+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.8,40.995,40.995,40.995,34.817,35.552,40.995,40.995,7,6,4,6,3,3,3,2,1,1,39,0,0,155,46,17,17,11,5,6,3,4,4,7,6,2,8,4,2,1,3,4,1,2,0,1,12,0,0,0,0,0,131,42,43,16,8,6,0,0,0,0,0,0,0,0,316,0,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65.565,65.565,0.000,204.253,0,110.355,110.355,0.000,343.785,0,251.680,251.680,0.000,779.194,0,427.600,-0.000,3.000
20260131_022902,2,2026-01-31T02:29:09+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.8,45.596,45.596,47.674,34.817,35.28,50.609,47.674,0,1,2,4,1,0,1,1,1,1,30,0,0,252,8,7,6,1,1,1,0,2,2,1,3,1,7,4,3,5,2,1,3,3,2,2,22,0,0,0,0,0,235,2,3,4,3,1,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,59.254,59.254,0.000,187.513,0,117.853,117.853,0.000,376.526,0,245.645,245.645,0.000,782.308,0,422.752,-0.000,3.000
20260131_022902,3,2026-01-31T02:29:12+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.8,38.811,38.747,38.527,34.77,35.178,38.527,38.527,4,1,1,3,1,2,0,0,0,0,18,0,0,259,6,12,8,2,3,2,2,2,3,1,4,9,7,3,5,2,7,2,5,5,3,1,16,0,0,0,0,0,212,8,5,1,13,2,0,0,0,0,0,0,0,0,315,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56.126,56.126,0.000,177.053,0,125.017,125.017,0.000,387.050,0,247.694,247.694,0.000,774.044,0,428.837,-0.000,3.000
20260131_022902,4,2026-01-31T02:29:16+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.8,38.595,38.595,38.595,34.732,35.066,38.595,38.595,2,5,1,1,0,0,1,0,3,1,30,0,0,255,7,9,4,2,5,1,3,4,3,3,3,4,2,3,1,4,3,4,3,5,2,4,18,0,0,0,0,0,222,5,5,1,1,6,0,0,0,0,0,0,0,0,315,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60.151,60.151,0.000,187.385,0,119.960,119.960,0.000,380.825,0,243.680,243.680,0.000,768.708,0,423.791,-0.000,4.000
20260131_022902,5,2026-01-31T02:29:19+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,39.313,39.313,38.54,34.699,35.003,38.54,38.54,1,4,1,3,1,2,1,1,0,3,17,0,0,254,12,7,5,3,3,2,2,2,2,5,0,1,5,2,1,2,2,2,0,6,0,1,17,0,0,0,0,0,241,9,0,4,1,7,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.551,56.551,0.000,179.527,0,105.835,105.835,0.000,333.864,0,241.627,241.627,0.000,764.644,0,404.013,-0.000,3.000
20260131_022902,6,2026-01-31T02:29:22+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,39.809,39.809,39.809,34.67,34.986,41.453,39.809,2,2,1,3,1,3,1,1,1,0,26,0,0,250,12,7,6,1,5,4,3,2,4,4,7,5,9,6,2,3,5,1,2,2,3,2,16,0,0,0,0,0,205,3,4,2,11,5,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.615,58.615,0.000,184.906,0,119.409,119.409,0.000,379.077,0,241.627,241.627,0.000,764.644,0,419.652,-0.000,3.000
20260131_022902,7,2026-01-31T02:29:25+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,44.876,44.876,44.876,34.649,34.966,42.458,44.876,1,2,2,0,1,1,1,0,0,1,24,0,0,262,7,7,9,1,1,1,3,3,3,5,3,4,6,4,4,4,4,9,3,6,1,1,29,0,0,0,0,0,211,4,3,1,3,2,0,0,0,0,0,0,0,0,308,1,0,0,0,2,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,57.791,57.791,0.000,181.164,0,140.202,140.202,0.000,440.887,0,256.722,256.722,0.000,799.756,0,454.715,-0.000,3.000
20260131_022902,8,2026-01-31T02:29:28+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,39.824,39.559,39.559,34.649,35.003,39.559,39.559,2,1,1,1,1,0,0,0,0,1,35,0,0,258,7,6,7,3,2,3,2,1,3,3,8,5,5,7,3,8,2,2,11,3,3,2,15,0,0,0,0,0,220,7,4,2,2,6,0,0,0,0,0,0,0,0,321,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,60.851,60.851,0.000,188.393,0,129.909,129.909,0.000,394.861,0,250.222,250.222,0.000,772.290,0,440.982,-0.000,3.000
20260131_022902,9,2026-01-31T02:29:32+08:00,S2_b90,,73,100,4109,328,3482000,90,0,,0,32.9,38.291,38.291,38.291,34.646,34.971,38.291,38.291,0,3,1,2,1,0,1,1,0,2,21,0,0,263,10,6,5,8,3,2,6,1,2,2,2,4,4,2,1,2,2,4,1,3,0,1,15,0,0,0,0,0,241,1,4,11,2,4,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.410,58.410,0.000,180.277,0,104.609,104.609,0.000,326.904,0,245.451,245.451,0.000,764.644,0,408.470,-0.000,4.000
