run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt
20260131_023908,0,2026-01-31T02:39:09+08:00,S2_b150,,71,100,4089,327,3423000,150,0,,0,32.7,39.607,39.607,39.607,34.602,35.095,39.607,39.607,2,2,1,1,0,0,1,0,1,0,15,0,0,84,4,4,5,1,2,3,4,1,6,4,4,7,6,3,4,2,3,1,2,2,4,0,9,0,0,0,0,0,45,0,0,1,3,3,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_023908,1,2026-01-31T02:39:12+08:00,S2_b150,,71,100,4089,327,3423000,150,0,,0,32.7,38.769,38.769,38.769,34.617,34.962,38.769,38.769,1,2,1,1,0,2,0,0,0,0,24,0,0,264,5,6,6,1,2,4,4,3,2,1,1,3,5,1,2,3,2,2,2,3,7,0,20,0,0,0,0,0,237,2,0,2,5,2,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_023908,2,2026-01-31T02:39:15+08:00,S2_b150,,71,100,4089,327,3423000,150,0,,0,32.7,40.831,40.831,40.831,34.599,34.916,40.831,40.831,1,5,1,3,1,2,1,1,1,1,39,0,0,237,9,8,6,4,4,5,4,6,4,6,3,6,3,4,2,6,3,3,2,5,2,0,29,0,0,0,0,0,203,5,4,4,4,4,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
20260131_023908,3,2026-01-31T02:39:18+08:00,S2_b150,,71,100,4089,327,3423000,150,0,,0,32.7,38.32,38.32,38.32,34.575,34.861,38.32,38.32,1,2,1,3,1,1,2,0,2,0,27,0,0,253,8,8,5,3,3,3,3,3,5,4,4,6,6,7,2,5,6,3,5,2,1,1,16,0,0,0,0,0,210,5,0,4,6,5,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_023908,4,2026-01-31T02:39:21+08:00,S2_b150,,71,100,4089,327,3423000,150,0,,0,32.7,41.648,41.648,43.261,34.549,34.802,43.261,43.261,1,2,2,2,0,7,1,1,0,1,18,0,0,257,5,10,4,6,3,3,3,5,2,3,3,4,16,2,3,4,3,3,4,5,2,1,16,0,0,0,0,0,213,0,1,12,5,1,0,0,0,0,0,0,0,0,317,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
20260131_023908,5,2026-01-31T02:39:25+08:00,S2_b150,,71,100,4089,327,3423000,150,0,,0,32.7,38.393,38.393,38.393,34.534,34.772,38.393,38.393,1,1,2,1,1,1,0,0,0,1,21,0,0,275,8,4,4,1,1,1,1,1,0,1,2,4,2,1,2,5,3,6,1,0,0,2,16,0,0,0,0,0,258,3,0,4,1,6,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_023908,6,2026-01-31T02:39:28+08:00,S2_b150,,71,100,4089,327,3423000,150,0,,0,32.7,38.74,38.74,38.205,34.516,34.787,38.205,38.205,1,3,6,5,0,1,1,1,0,0,22,0,0,253,6,8,4,2,8,3,4,2,6,4,3,5,5,3,2,2,3,8,2,2,7,3,25,0,0,0,0,0,204,1,7,3,2,2,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_023908,7,2026-01-31T02:39:31+08:00,S2_b150,,71,100,4089,327,3423000,150,0,,0,32.7,37.614,37.614,37.384,34.502,34.749,37.384,37.384,1,2,1,5,1,1,1,0,1,0,24,0,0,257,6,5,12,6,1,5,1,2,3,5,2,3,4,1,3,4,3,4,4,3,2,2,25,0,0,0,0,0,220,5,4,4,4,4,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_023908,8,2026-01-31T02:39:34+08:00,S2_b150,,71,100,4089,327,3423000,150,0,,0,32.7,39.182,39.182,39.182,34.49,34.705,39.182,39.182,1,1,1,1,0,0,0,1,1,0,34,0,0,255,5,5,0,10,2,4,3,3,4,5,1,5,6,3,2,3,3,7,2,4,2,2,20,0,0,0,0,0,211,3,4,1,13,6,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_023908,9,2026-01-31T02:39:37+08:00,S2_b150,,71,100,4089,327,3423000,150,0,,0,32.7,38.089,38.089,37.743,34.475,34.702,37.743,37.743,2,6,3,2,0,2,0,0,0,0,26,0,0,254,10,5,6,1,1,0,0,0,0,1,0,5,2,0,1,4,2,3,2,6,1,1,17,0,0,0,0,0,252,9,0,3,1,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
