run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,batteryproperties_current_now_uA,batteryproperties_current_average_uA,batteryproperties_energy_counter,batteryproperties_charge_counter_uAh,display_state,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt
20260131_150336,0,2026-01-31T15:03:37+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.4,48.57,48.602,48.602,36.915,38.336,48.602,48.602,0,0,0,0,0,0,0,0,0,167,0,0,0,0,1,0,0,0,5,1,2,3,1,2,1,0,1,3,1,1,2,1,1,7,0,0,0,0,0,0,0,0,116,8,3,3,2,2,0,0,0,0,0,0,0,0,151,2,0,0,3,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,1,2026-01-31T15:03:40+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,44.47,44.47,44.47,36.915,37.94,44.47,44.47,4,10,6,7,5,6,5,2,5,138,0,0,0,96,41,19,14,14,11,7,5,4,6,5,6,6,4,4,3,4,2,1,1,16,0,0,0,0,0,0,0,0,223,23,16,9,9,8,0,0,0,0,0,0,0,0,370,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,2,2026-01-31T15:03:44+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,42.679,42.679,42.679,36.775,37.553,42.679,42.679,11,12,7,11,4,6,4,5,2,127,0,0,0,89,36,23,13,14,6,4,7,5,7,3,6,3,3,3,6,4,3,3,1,12,0,0,0,0,0,0,0,0,238,20,11,6,6,6,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,3,2026-01-31T15:03:48+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,49.383,49.383,47.103,36.629,37.209,47.103,47.103,7,10,9,6,7,7,1,2,4,116,0,0,0,90,36,25,22,15,2,5,2,3,3,4,2,3,2,6,2,4,2,3,3,18,0,0,0,0,0,0,0,0,249,17,10,8,6,4,0,0,0,0,0,0,0,0,349,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,4,2026-01-31T15:03:51+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,45.41,45.41,45.41,36.485,36.991,45.41,45.41,10,15,8,15,6,3,6,3,4,53,0,0,0,107,62,32,21,23,5,2,3,5,5,6,2,2,2,1,1,2,1,1,1,6,0,0,0,0,0,0,0,0,267,26,12,7,6,5,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,5,2026-01-31T15:03:55+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,47.281,47.281,47.281,36.349,36.788,47.281,47.281,10,15,15,15,5,14,5,4,2,48,0,0,0,110,42,27,27,19,6,6,5,4,6,5,6,3,7,5,2,2,3,2,3,18,0,0,0,0,0,0,0,0,224,20,12,6,8,5,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,6,2026-01-31T15:03:59+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,41.844,41.844,41.844,36.222,36.611,41.844,41.844,12,9,16,16,5,4,5,4,6,60,0,0,0,113,44,30,21,20,6,5,5,6,8,7,4,5,4,6,3,3,4,3,2,11,0,0,0,0,0,0,0,0,227,22,16,5,6,4,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,7,2026-01-31T15:04:02+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,40.476,40.476,40.476,36.12,36.525,40.476,40.476,7,13,14,11,6,9,5,2,4,72,0,0,0,108,48,26,22,15,4,6,5,4,5,3,6,6,5,4,3,4,3,2,2,18,0,0,0,0,0,0,0,0,226,19,13,10,7,9,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,8,2026-01-31T15:04:06+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,41.443,41.443,41.426,36.032,36.46,40.437,41.426,9,15,10,18,6,6,3,3,2,113,0,0,0,93,35,22,13,13,11,11,8,5,8,6,4,6,5,5,2,3,2,3,2,9,0,0,0,0,0,0,0,0,209,23,16,10,8,7,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260131_150336,9,2026-01-31T15:04:09+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,44.218,44.218,43.286,35.976,36.325,43.286,43.286,14,19,10,15,10,7,5,5,6,46,0,0,0,115,41,28,18,21,6,4,3,3,6,5,4,3,5,3,2,4,2,5,4,16,0,0,0,0,0,0,0,0,226,28,14,4,9,3,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
