run_id,seq,ts_pc,scenario,note,battery_level,battery_scale,battery_voltage_mv,battery_temp_deciC,charge_counter_uAh,brightness,battery_updates_stopped,adb_error,batteryproperties_current_now_uA,batteryproperties_current_average_uA,batteryproperties_energy_counter,batteryproperties_charge_counter_uAh,display_state,thermal_status,thermal_battery_C,thermal_cpu_C,thermal_gpu_C,thermal_npu_C,thermal_power_amplifier_C,thermal_skin_C,thermal_soc_C,thermal_tpu_C,cpu_p0_freq1000000_dt,cpu_p0_freq1100000_dt,cpu_p0_freq1200000_dt,cpu_p0_freq1300000_dt,cpu_p0_freq1400000_dt,cpu_p0_freq1500000_dt,cpu_p0_freq1600000_dt,cpu_p0_freq1700000_dt,cpu_p0_freq1800000_dt,cpu_p0_freq1900000_dt,cpu_p0_freq2000000_dt,cpu_p0_freq2100000_dt,cpu_p0_freq2200000_dt,cpu_p0_freq480000_dt,cpu_p0_freq600000_dt,cpu_p0_freq700000_dt,cpu_p0_freq800000_dt,cpu_p0_freq900000_dt,cpu_p4_freq1000000_dt,cpu_p4_freq1100000_dt,cpu_p4_freq1200000_dt,cpu_p4_freq1300000_dt,cpu_p4_freq1400000_dt,cpu_p4_freq1500000_dt,cpu_p4_freq1600000_dt,cpu_p4_freq1700000_dt,cpu_p4_freq1800000_dt,cpu_p4_freq1900000_dt,cpu_p4_freq2000000_dt,cpu_p4_freq2100000_dt,cpu_p4_freq2200000_dt,cpu_p4_freq2300000_dt,cpu_p4_freq2400000_dt,cpu_p4_freq2500000_dt,cpu_p4_freq2600000_dt,cpu_p4_freq2660000_dt,cpu_p4_freq2800000_dt,cpu_p4_freq2850000_dt,cpu_p4_freq2900000_dt,cpu_p4_freq3000000_dt,cpu_p4_freq3100000_dt,cpu_p4_freq3200000_dt,cpu_p4_freq400000_dt,cpu_p4_freq500000_dt,cpu_p4_freq600000_dt,cpu_p4_freq700000_dt,cpu_p4_freq800000_dt,cpu_p4_freq900000_dt,cpu_p7_freq1000000_dt,cpu_p7_freq1100000_dt,cpu_p7_freq1200000_dt,cpu_p7_freq1300000_dt,cpu_p7_freq1400000_dt,cpu_p7_freq1500000_dt,cpu_p7_freq1600000_dt,cpu_p7_freq1700000_dt,cpu_p7_freq1800000_dt,cpu_p7_freq1900000_dt,cpu_p7_freq2000000_dt,cpu_p7_freq2100000_dt,cpu_p7_freq2200000_dt,cpu_p7_freq2300000_dt,cpu_p7_freq2400000_dt,cpu_p7_freq2500000_dt,cpu_p7_freq2600000_dt,cpu_p7_freq2700000_dt,cpu_p7_freq2800000_dt,cpu_p7_freq2900000_dt,cpu_p7_freq3000000_dt,cpu_p7_freq3050000_dt,cpu_p7_freq3100000_dt,cpu_p7_freq3200000_dt,cpu_p7_freq3350000_dt,cpu_p7_freq400000_dt,cpu_p7_freq500000_dt,cpu_p7_freq600000_dt,cpu_p7_freq700000_dt,cpu_p7_freq800000_dt,cpu_p7_freq900000_dt,cpu_policy0_energy_mJ,cpu_policy0_energy_mJ_matched,cpu_policy0_energy_mJ_unmatched,cpu_policy0_avg_power_mW,cpu_policy0_unmatched_dt_ms,cpu_policy4_energy_mJ,cpu_policy4_energy_mJ_matched,cpu_policy4_energy_mJ_unmatched,cpu_policy4_avg_power_mW,cpu_policy4_unmatched_dt_ms,cpu_policy7_energy_mJ,cpu_policy7_energy_mJ_matched,cpu_policy7_energy_mJ_unmatched,cpu_policy7_avg_power_mW,cpu_policy7_unmatched_dt_ms,cpu_energy_mJ_total,battery_discharge_energy_mJ,dt_s
20260131_150336,0,2026-01-31T15:03:37+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.4,48.57,48.602,48.602,36.915,38.336,48.602,48.602,0,0,0,0,0,0,0,0,0,167,0,0,0,0,1,0,0,0,5,1,2,3,1,2,1,0,1,3,1,1,2,1,1,7,0,0,0,0,0,0,0,0,116,8,3,3,2,2,0,0,0,0,0,0,0,0,151,2,0,0,3,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.009,59.009,0.000,351.245,0,46.671,46.671,0.000,281.153,0,124.972,124.972,0.000,748.337,0,230.653,,
20260131_150336,1,2026-01-31T15:03:40+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,44.47,44.47,44.47,36.915,37.94,44.47,44.47,4,10,6,7,5,6,5,2,5,138,0,0,0,96,41,19,14,14,11,7,5,4,6,5,6,6,4,4,3,4,2,1,1,16,0,0,0,0,0,0,0,0,223,23,16,9,9,8,0,0,0,0,0,0,0,0,370,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.418,89.418,0.000,240.372,0,108.497,108.497,0.000,290.877,0,268.561,268.561,0.000,714.257,0,466.476,-0.000,3.000
20260131_150336,2,2026-01-31T15:03:44+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,42.679,42.679,42.679,36.775,37.553,42.679,42.679,11,12,7,11,4,6,4,5,2,127,0,0,0,89,36,23,13,14,6,4,7,5,7,3,6,3,3,3,6,4,3,3,1,12,0,0,0,0,0,0,0,0,238,20,11,6,6,6,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.511,86.511,0.000,237.668,0,103.064,103.064,0.000,283.923,0,256.828,256.828,0.000,707.514,0,446.403,-0.000,4.000
20260131_150336,3,2026-01-31T15:03:48+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,49.383,49.383,47.103,36.629,37.209,47.103,47.103,7,10,9,6,7,7,1,2,4,116,0,0,0,90,36,25,22,15,2,5,2,3,3,4,2,3,2,6,2,4,2,3,3,18,0,0,0,0,0,0,0,0,249,17,10,8,6,4,0,0,0,0,0,0,0,0,349,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.785,82.785,0.000,231.892,0,103.690,103.690,0.000,289.637,0,257.976,257.976,0.000,720.605,0,444.452,-0.000,4.000
20260131_150336,4,2026-01-31T15:03:51+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,45.41,45.41,45.41,36.485,36.991,45.41,45.41,10,15,8,15,6,3,6,3,4,53,0,0,0,107,62,32,21,23,5,2,3,5,5,6,2,2,2,1,1,2,1,1,1,6,0,0,0,0,0,0,0,0,267,26,12,7,6,5,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.486,73.486,0.000,199.691,0,87.230,87.230,0.000,237.038,0,258.950,258.950,0.000,707.514,0,419.666,-0.000,3.000
20260131_150336,5,2026-01-31T15:03:55+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,47.281,47.281,47.281,36.349,36.788,47.281,47.281,10,15,15,15,5,14,5,4,2,48,0,0,0,110,42,27,27,19,6,6,5,4,6,5,6,3,7,5,2,2,3,2,3,18,0,0,0,0,0,0,0,0,224,20,12,6,8,5,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.083,72.083,0.000,201.348,0,108.403,108.403,0.000,302.802,0,257.702,257.702,0.000,713.855,0,438.188,-0.000,4.000
20260131_150336,6,2026-01-31T15:03:59+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,41.844,41.844,41.844,36.222,36.611,41.844,41.844,12,9,16,16,5,4,5,4,6,60,0,0,0,113,44,30,21,20,6,5,5,6,8,7,4,5,4,6,3,3,4,3,2,11,0,0,0,0,0,0,0,0,227,22,16,5,6,4,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.013,75.013,0.000,205.514,0,104.790,104.790,0.000,289.474,0,256.828,256.828,0.000,707.514,0,436.630,-0.000,4.000
20260131_150336,7,2026-01-31T15:04:02+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,40.476,40.476,40.476,36.12,36.525,40.476,40.476,7,13,14,11,6,9,5,2,4,72,0,0,0,108,48,26,22,15,4,6,5,4,5,3,6,6,5,4,3,4,3,2,2,18,0,0,0,0,0,0,0,0,226,19,13,10,7,9,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.295,76.295,0.000,210.761,0,109.586,109.586,0.000,301.060,0,257.566,257.566,0.000,715.462,0,443.448,-0.000,3.000
20260131_150336,8,2026-01-31T15:04:06+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,41.443,41.443,41.426,36.032,36.46,40.437,41.426,9,15,10,18,6,6,3,3,2,113,0,0,0,93,35,22,13,13,11,11,8,5,8,6,4,6,5,5,2,3,2,3,2,9,0,0,0,0,0,0,0,0,209,23,16,10,8,7,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.800,83.800,0.000,232.132,0,103.648,103.648,0.000,285.533,0,255.413,255.413,0.000,707.514,0,442.861,-0.000,4.000
20260131_150336,9,2026-01-31T15:04:09+08:00,S2_b90,,38,100,3802,337,1853000,90,0,,,,,,,0,33.6,44.218,44.218,43.286,35.976,36.325,43.286,43.286,14,19,10,15,10,7,5,5,6,46,0,0,0,115,41,28,18,21,6,4,3,3,6,5,4,3,5,3,2,4,2,5,4,16,0,0,0,0,0,0,0,0,226,28,14,4,9,3,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.442,72.442,0.000,201.227,0,106.877,106.877,0.000,297.707,0,261.135,261.135,0.000,723.367,0,440.454,-0.000,3.000
